root,id,ra,dec,m444,z_map,zwidth2,bic_diff,flux_ha,err_ha,sn_ha,q1,q2,q3,q4,q_fresco,multi_ids,q_congress,q_final
multigalaxies-GN,1000006,189.3154144,62.26380157,25.12,5.197,0.001,2279.8,1.6e-17,3.2e-19,52.1,3,2,3,3,2.75,"[10632, 10633]",1,2.75
multigalaxies-GN,1000007,189.290451,62.26296997,26.04,5.847,0.002,87.5,3.1e-18,4e-19,7.7,2,2,2,1,1.75,"[10896, 10912]",3,3
multigalaxies-GN,1000008,189.2312164,62.25912476,24.33,5.186,0.001,6041.1,3.2e-17,4e-19,80.6,3,3,3,3,3,"[12143, 12144, 12145]",1,3
multigalaxies-GN,1000010,189.3534546,62.2507515,23.94,5.311,0.001,4570.5,4.2e-17,6e-19,70.4,3,3,2,3,2.75,"[14935, 15492]",3,3
multigalaxies-GN,1000011,189.2486572,62.24845886,24.03,5.18,0.002,600,1.2e-17,5.1e-19,23.9,3,3,3,3,3,"[15845, 15846, 15847]",1,3
multigalaxies-GN,1000014,189.0886078,62.23950195,24.73,5.444,0.001,560.4,7.7e-18,3.3e-19,23.3,2,3,2,1,2,"[19032, 19033]",3,3
multigalaxies-GN,1000015,189.0948181,62.23940659,24.83,5.296,0.001,832.6,1.1e-17,3.7e-19,28.6,3,3,3,3,3,"[19050, 19091]",3,3
multigalaxies-GN,1000016,189.1195984,62.23855209,25.37,5.275,0.002,229.7,5.8e-18,4.1e-19,14.3,2,3,3,3,2.75,"[19366, 19367, 19368]",3,3
multigalaxies-GN,1000019,189.3418427,62.23205948,25.52,5.652,0.002,121.4,4e-18,4e-19,9.9,1,3,2,2,2,"[21511, 21512]",1,2
multigalaxies-GN,1000020,189.1277161,62.22890472,26.66,5.174,0.002,91.8,1.9e-18,2.4e-19,7.8,1,2,3,2,2,"[22501, 22513]",1,2
multigalaxies-GN,1000021,189.1134186,62.22766495,25.39,4.911,0.002,120.6,1.2e-17,1.4e-18,9,0,0,2,2,1,"[22857, 22858]",3,3
multigalaxies-GN,1000023,189.106308,62.22282791,26.55,5.344,0.003,72.2,2.1e-18,3.2e-19,6.4,0,1,1,2,1,"[24215, 24216]",3,3
multigalaxies-GN,1000024,189.2259674,62.22212601,25.7,5.303,0.002,272.7,3.9e-18,2.5e-19,16,3,2,2,2,2.25,"[24398, 24399]",3,3
multigalaxies-GN,1000025,189.100708,62.22021484,25.29,5.031,0.003,101,4.3e-18,5.1e-19,8.4,3,2,2,2,2.25,"[24889, 24890, 24891]",3,3
multigalaxies-GN,1000026,189.286438,62.20702744,26.35,5.969,0.002,181.3,3.6e-18,2.9e-19,12.4,3,3,3,2,2.75,"[28017, 28018]",1,2.75
multigalaxies-GN,1000027,189.2856598,62.20675278,25.88,5.228,0.002,701.7,7.6e-18,2.9e-19,26.5,3,3,3,3,3,"[28066, 28067]",1,3
multigalaxies-GN,1000028,189.0838776,62.19959259,24.1,5.181,0.002,1214.7,2.2e-17,6.4e-19,34.7,3,3,3,3,3,"[29459, 29460]",1,3
multigalaxies-GN,1000030,189.2167969,62.19579697,24.38,5.183,0.002,270.7,8.5e-18,5.4e-19,15.7,3,2,2,2,2.25,"[30160, 30161, 30162]",1,2.25
multigalaxies-GN,1000031,189.175705,62.18671036,24.12,5.185,0.002,257,9.3e-18,6.1e-19,15.2,3,3,3,2,2.75,"[31612, 31625]",1,2.75
multigalaxies-GN,1000032,189.215744,62.18645859,24.69,5.184,0.002,2093,1.9e-17,3.9e-19,48.2,3,3,3,3,3,"[31651, 31764, 31855]",1,3
multigalaxies-GN,1000033,189.1946869,62.18166733,25.62,5.183,0.002,142.7,4.4e-18,4.2e-19,10.6,3,3,2,2,2.5,"[32236, 32237, 32238]",1,2.5
multigalaxies-GN,1000034,189.2108917,62.18120575,24.87,5.785,0.002,1303.7,1.7e-17,4.8e-19,36.6,3,3,3,3,3,"[32296, 32297]",1,3
multigalaxies-GN,1000035,189.2073517,62.17918777,25.35,5.187,0.001,526.8,5e-18,2.3e-19,22.2,2,3,2,2,2.25,"[32518, 32519]",1,2.25
