ID z_bouw Hmag ra dec
GNWB-7542215357 4.650000095367432 26.979999542236328 189.47591666666665 62.25991666666667
GNWB-8089016573 4.590000152587891 25.540000915527344 189.5370833333333 62.282583333333335
GNWB-7150813427 4.760000228881836 25.780000686645508 189.31283333333332 62.22852777777778
GNWB-7445616204 4.539999961853027 26.790000915527344 189.43566666666663 62.272333333333336
GNWB-7393618134 4.539999961853027 25.799999237060547 189.414 62.30372222222222
GNWB-7170818459 4.820000171661377 26.399999618530273 189.32116666666664 62.312749999999994
GNWB-7205520316 4.590000152587891 25.219999313354492 189.33562499999996 62.342111111111116
GNWB-6470271714 4.590000152587891 24.670000076293945 189.19591666666665 62.12141666666667
GNWB-6484008524 4.650000095367432 26.610000610351562 189.20166666666663 62.147888888888886
GNWB-7130421114 4.539999961853027 23.579999923706055 189.30433333333332 62.35316666666667
GNWB-7131821473 4.650000095367432 24.809999465942383 189.30491666666666 62.36313888888889
GNWB-7114721558 4.539999961853027 23.280000686645508 189.29779166666665 62.365500000000004
GNWB-7126221596 4.539999961853027 24.719999313354492 189.30258333333333 62.36655555555556
GNWB-6322706233 4.539999961853027 26.420000076293945 189.1344583333333 62.10647222222222
GNWB-6376906225 5.0 24.969999313354492 189.15704166666663 62.10625
GNWB-6259708597 4.539999961853027 24.1200008392334 189.10820833333332 62.14991666666667
GNWB-6261409015 4.539999961853027 26.739999771118164 189.10891666666663 62.150416666666665
GNWB-6177808525 4.539999961853027 26.420000076293945 189.0740833333333 62.14791666666667
GNWB-6060708566 4.539999961853027 24.889999389648438 189.02529166666665 62.149055555555556
GNWB-6236909257 4.539999961853027 27.15999984741211 189.0987083333333 62.15713888888889
GNWB-6196310307 4.539999961853027 27.520000457763672 189.08179166666665 62.17519444444444
GNWB-6133410027 4.539999961853027 27.040000915527344 189.05558333333332 62.16741666666666
GNWB-6085910190 4.940000057220459 25.18000030517578 189.03579166666663 62.17194444444444
GNWB-6071110245 4.590000152587891 25.860000610351562 189.02962499999998 62.17347222222222
GNWB-6052110200 4.650000095367432 25.3700008392334 189.0217083333333 62.17222222222222
GNWB-6316711000 4.590000152587891 26.510000228881836 189.1319583333333 62.18333333333333
GNWB-6136211173 4.650000095367432 25.989999771118164 189.05674999999997 62.188138888888886
GNWB-6054413512 5.0 26.110000610351562 189.02266666666662 62.23088888888889
GNWB-6314215435 4.940000057220459 25.93000030517578 189.13091666666665 62.26208333333334
GNWB-6189317074 4.539999961853027 27.030000686645508 189.07887499999998 62.28538888888889
GNWB-5595109500 4.539999961853027 24.75 188.99795833333332 62.163888888888884
GNWB-5586010014 4.539999961853027 25.350000381469727 188.99416666666664 62.16705555555556
GNDB-7230311579 5.0 25.600000381469727 189.34595833333333 62.199416666666664
GNDB-7197712142 5.0 25.829999923706055 189.33237499999998 62.203944444444446
GNDB-7199812592 4.539999961853027 25.899999618530273 189.33324999999996 62.21644444444445
GNDB-7257013589 4.539999961853027 27.09000015258789 189.35708333333332 62.23302777777778
GNDB-7240613306 4.539999961853027 27.799999237060547 189.35025 62.22516666666667
GNDB-7150813427 4.760000228881836 25.760000228881836 189.31283333333332 62.22852777777778
GNDB-7135016495 4.650000095367432 27.079999923706055 189.30624999999998 62.28041666666667
GNDB-7140116519 4.539999961853027 25.790000915527344 189.30837499999998 62.281083333333335
GNDB-7119210031 4.539999961853027 25.969999313354492 189.29966666666667 62.16752777777778
GNDB-7086510327 4.590000152587891 25.8700008392334 189.28604166666665 62.17575
GNDB-6513210547 4.650000095367432 24.450000762939453 189.2138333333333 62.18186111111111
GNDB-7047411394 4.590000152587891 26.56999969482422 189.26975 62.19427777777778
GNDB-6446711506 5.059999942779541 24.489999771118164 189.18612499999998 62.19738888888889
GNDB-7113312001 4.539999961853027 27.440000534057617 189.29720833333334 62.200027777777784
GNDB-6401212015 4.590000152587891 26.31999969482422 189.16716666666662 62.20041666666667
GNDB-7029013069 4.590000152587891 25.170000076293945 189.26208333333332 62.218583333333335
GNDB-6491013308 5.0 25.329999923706055 189.2045833333333 62.22522222222222
GNDB-6480513460 4.539999961853027 25.770000457763672 189.2002083333333 62.22944444444445
GNDB-7098314396 4.539999961853027 24.5 189.29095833333332 62.24433333333334
GNDB-7035314300 4.940000057220459 25.450000762939453 189.26470833333332 62.24166666666667
GNDB-7036814548 4.539999961853027 25.34000015258789 189.2653333333333 62.248555555555555
GNDB-6592615190 4.539999961853027 25.239999771118164 189.24691666666664 62.25527777777778
GNDB-6538815556 4.539999961853027 25.989999771118164 189.22449999999998 62.26544444444445
GNDB-6477315095 4.880000114440918 25.489999771118164 189.19887499999996 62.25263888888889
GNDB-6422515231 5.0 24.790000915527344 189.17604166666663 62.25641666666667
GNDB-6491215283 4.539999961853027 26.389999389648438 189.20466666666664 62.25786111111111
GNDB-6398415289 4.590000152587891 24.860000610351562 189.16599999999997 62.25802777777778
GNDB-7006617563 4.539999961853027 24.709999084472656 189.25275 62.29897222222222
GNDB-6212212281 4.539999961853027 24.700000762939453 189.08841666666666 62.20780555555556
GNDB-6354913504 4.590000152587891 24.389999389648438 189.14787499999997 62.23066666666667
GNDB-6297314455 4.539999961853027 27.079999923706055 189.12387499999997 62.24597222222222
GNDB-6179414222 4.539999961853027 23.950000762939453 189.07474999999997 62.2395
GNDB-6314215435 5.0 25.940000534057617 189.13091666666665 62.26208333333334
GNDB-6161015234 4.590000152587891 25.31999969482422 189.0670833333333 62.2565
GNDB-6183915478 5.059999942779541 25.360000610351562 189.07662499999998 62.26327777777778
GNDB-6195616508 4.650000095367432 25.559999465942383 189.08149999999995 62.28077777777778
GNWV-7520415003 4.760000228881836 26.219999313354492 189.4668333333333 62.250083333333336
GNWV-7492314563 4.539999961853027 27.100000381469727 189.45512499999998 62.24897222222222
