name,ra,dec,priority,type
z7_GNW_24671,189.361710,62.294373,3,TARGET
z7_GNW_24443,189.356888,62.295319,3,TARGET
z7_GNW_23360,189.358093,62.302467,3,TARGET
z7_GNW_22375,189.342590,62.308517,3,TARGET
z6_GNW_3671,189.203537,62.127998,3,TARGET
z6_GNW_18532,189.292984,62.366489,3,TARGET
z7_GNW_11595,188.965240,62.176491,3,TARGET
z6_GND_35540,189.337234,62.201584,3,TARGET
z6_GND_29625,189.403580,62.219875,3,TARGET
z7_GND_22525,189.372818,62.240372,3,TARGET
z7_GND_35507,189.304443,62.201679,3,TARGET
z7_GND_34860,189.228882,62.204010,3,TARGET
z7_GND_34730,189.225845,62.204224,3,TARGET
z6_GND_27273,189.197571,62.226986,3,TARGET
z6_GND_22278,189.240829,62.242634,3,TARGET
z7_GND_19479,189.239761,62.248119,3,TARGET
z5_GND_13996,189.162186,62.263817,3,TARGET
z6_GND_11304,189.282639,62.272503,3,TARGET
z7_GND_11401,189.186600,62.270905,3,TARGET
z6_GND_10245,189.277405,62.276409,3,TARGET
z6_GND_44831,189.175140,62.282261,3,TARGET
z7_GND_43678,189.235199,62.295593,3,TARGET
z7_GND_42808,189.188400,62.303051,3,TARGET
z6_GND_7095,189.165024,62.300190,3,TARGET
z7_GND_41647,189.178131,62.310635,3,TARGET
z7_GND_41244,189.177872,62.311699,3,TARGET
z7_GND_5323,189.178101,62.324318,3,TARGET
z7_GND_15642,189.151978,62.259640,3,TARGET
z7_GND_16759,189.079834,62.256454,3,TARGET
z7_GND_10568,189.139160,62.275288,3,TARGET
z7_GND_8358,189.155319,62.286461,3,TARGET
z6_GND_43953,189.117065,62.294224,3,TARGET
z6_GND_42333,189.139923,62.308372,3,TARGET
z7_GNW_23360,189.358093,62.302467,3,TARGET
z7_GNW_17001,189.032486,62.216415,3,TARGET
z5_GNW_27194,189.523804,62.278839,4,TARGET
z5_GNW_28218,189.503250,62.273884,4,TARGET
z5_GNW_25408,189.457428,62.289562,4,TARGET
z5_GND_36668,189.376678,62.197426,4,TARGET
z5_GNW_32760,189.451263,62.241043,4,TARGET
z5_GNW_30244,189.418915,62.259678,4,TARGET
z5_GNW_30237,189.418411,62.259842,4,TARGET
z5_GNW_29609,189.436447,62.265049,4,TARGET
z5_GNW_28602,189.375870,62.271450,4,TARGET
z5_GNW_26081,189.381042,62.285637,4,TARGET
z5_GNW_25250,189.432602,62.290581,4,TARGET
z5_GNW_24858,189.414474,62.293190,4,TARGET
z5_GNW_23799,189.324554,62.299732,4,TARGET
z5_GNW_23086,189.451691,62.304169,4,TARGET
z5_GNW_20906,189.437683,62.318161,4,TARGET
z5_GNW_22490,189.394882,62.308056,4,TARGET
z5_GNW_21283,189.403549,62.315697,4,TARGET
z5_GNW_22097,189.364624,62.310837,4,TARGET
z5_GNW_22312,189.339706,62.309032,4,TARGET
z5_GNW_21750,189.317093,62.313053,4,TARGET
z5_GNW_23042,189.415009,62.333538,4,TARGET
z5_GNW_23548,189.415771,62.334045,4,TARGET
z6_GNW_20715,189.339859,62.319981,4,TARGET
z5_GNW_21219,189.310135,62.330257,4,TARGET
z5_GNW_28199,189.382797,62.337444,4,TARGET
z5_GNW_28803,189.311783,62.337528,4,TARGET
z5_GNW_18766,189.345215,62.362179,4,TARGET
z5_GNW_2919,189.203491,62.122383,4,TARGET
z5_GNW_3424,189.208527,62.126209,4,TARGET
z5_GNW_3433,189.205490,62.126289,4,TARGET
z5_GNW_7098,189.214188,62.149055,4,TARGET
z5_GNW_5021,189.181732,62.137760,4,TARGET
z6_GNW_8973,189.167801,62.160194,4,TARGET
z5_GNW_9029,189.168854,62.160538,4,TARGET
z5_GND_35084,189.278580,62.203220,4,TARGET
z5_GNW_22583,189.298859,62.307564,4,TARGET
z5_GNW_19038,189.290970,62.353146,4,TARGET
z5_GNW_32117,189.257217,62.353569,4,TARGET
z5_GNW_1503,189.139328,62.111233,4,TARGET
z5_GNW_1663,189.147537,62.112507,4,TARGET
z5_GNW_2438,189.106522,62.118481,4,TARGET
z5_GNW_4337,189.073959,62.132893,4,TARGET
z5_GNW_7248,189.089371,62.149796,4,TARGET
z5_GNW_6540,189.023026,62.146069,4,TARGET
z5_GNW_8402,189.132050,62.156620,4,TARGET
z5_GNW_9175,189.054169,62.161289,4,TARGET
z5_GNW_9696,189.031815,62.164223,4,TARGET
z5_GNW_10657,189.130219,62.170780,4,TARGET
