ID z_fink z_bouw Hmag ra dec
z6_GND_22278 6.19 6.39 26.88 189.240829 62.242634
z7_GND_19479 6.88 6.39 26.78 189.239761 62.248119
z5_GND_13996 5.51 6.54 26.75 189.162186 62.263817
z6_GND_11304 6.54 6.61 26.75 189.282639 62.272503
z7_GND_11401 6.69 6.77 26.26 189.186600 62.270905
z6_GND_10245 6.32 6.39 26.20 189.277405 62.276409
z6_GND_44831 6.22 6.32 25.95 189.175140 62.282261
z7_GND_43678 6.72 6.54 26.52 189.235199 62.295593
z7_GND_42808 6.92 6.84 26.50 189.188400 62.303051
z6_GND_7095 6.37 6.54 26.33 189.165024 62.300190
z7_GND_41647 6.62 6.54 26.95 189.178131 62.310635
z7_GND_41244 6.75 6.69 26.51 189.177872 62.311699
z7_GND_5323 6.86 6.84 26.71 189.178101 62.324318
z7_GND_15642 6.56 6.54 26.68 189.151978 62.259640
z7_GND_16759 6.69 6.77 25.75 189.079834 62.256454
z7_GND_10568 6.88 6.92 26.77 189.139160 62.275288
z7_GND_8358 6.70 6.69 26.32 189.155319 62.286461
z6_GND_43953 6.35 6.61 26.71 189.117065 62.294224
z6_GND_42333 6.46 6.54 26.31 189.139923 62.308372
z7_GNW_23360 6.64 6.61 26.63 189.358093 62.302467
z7_GNW_17001 6.84 6.92 25.71 189.032486 62.216415
