root,id,ra,dec,m444,z_map,zwidth2,bic_diff,flux_ha,err_ha,sn_ha,q1,q2,q3,q4,q,multi_ids
congress-n-v1,14257,189.3747639,62.25250373,24.77,4.722,0,1137.8,1.3e-17,3.9e-19,34.1,3,2,3,3,2.75,-
congress-n-v1,14299,189.0799082,62.2524464,25.85,3.908,0,223.2,5.9e-18,4.1e-19,14.3,2,2,3,3,2.5,-
congress-n-v1,14351,189.2423861,62.25286239,25.1,3.857,0,90.8,3.4e-18,4.7e-19,7.3,1,2,1,1,1.25,-
congress-n-v1,14372,189.2588365,62.25229615,25.28,3.917,0,202.4,4.8e-18,3.7e-19,12.9,2,2,3,3,2.5,-
congress-n-v1,14387,189.1984175,62.25224123,26.51,4.499,0.035,53.7,1.6e-18,3.0e-19,5.2,1,1,0,0,0.5,-
congress-n-v1,14422,189.338067,62.25215005,27.87,3.882,0,66.8,2.1e-18,3.5e-19,6,1,1,0,1,0.75,-
congress-n-v1,14451,189.2514751,62.25212263,25.78,4.759,0.046,58.8,1.0e-18,2.0e-19,5,1,0,0,0,0.25,-
congress-n-v1,14473,189.0640035,62.25201538,25.32,4.445,0,392.1,6.6e-18,3.4e-19,19.3,3,2,3,3,2.75,-
congress-n-v1,14509,189.2987,62.2520057,26.33,4.429,0,137.1,2.3e-18,2.2e-19,10.6,3,3,3,3,3,-
congress-n-v1,14515,189.0738385,62.25198528,26.23,4.633,0,75.6,1.7e-18,2.6e-19,6.4,1,0,0,1,0.5,-
congress-n-v1,14537,189.2258662,62.25196186,25.93,4.402,0,233.5,4.4e-18,3.1e-19,14.1,3,2,3,3,2.75,-
congress-n-v1,14623,189.2254881,62.25174581,26.28,4.4,0,105.4,2.0e-18,2.3e-19,8.7,2,2,3,2,2.25,-
congress-n-v1,14687,189.270617,62.25155809,25.86,4.401,0,216.5,5.5e-18,3.9e-19,13.8,3,2,3,2,2.5,-
congress-n-v1,14695,189.0666951,62.25152241,26.91,4.144,0,163.5,3.6e-18,3.2e-19,11.5,3,1,3,2,2.25,-
congress-n-v1,14770,189.2190579,62.25127027,26.31,4.402,0,123.1,2.1e-18,2.2e-19,9.7,3,2,3,3,2.75,-
congress-n-v1,14782,189.2962749,62.25132353,26.21,4.378,0,270.9,3.6e-18,2.3e-19,15.6,3,2,3,3,2.75,-
congress-n-v1,14788,189.1469671,62.2512771,24.61,4.128,0,65,2.4e-18,4.1e-19,5.9,1,1,0,0,0.5,-
congress-n-v1,14800,189.3029259,62.25118458,25.55,4.76,0,82.7,1.7e-18,2.3e-19,7.6,2,2,1,1,1.5,-
congress-n-v1,14819,189.2397162,62.25124265,27.4,4.342,0,260.1,2.4e-18,1.6e-19,15.4,3,2,3,2,2.5,-
congress-n-v1,14842,189.2404848,62.25114738,27.57,5.03,0,79.1,1.1e-18,1.7e-19,6.7,1,1,1,1,1,-
congress-n-v1,14873,189.1618539,62.251068,24.89,4.409,0,1654.5,6.9e-18,1.7e-19,41.1,3,3,3,3,3,-
congress-n-v1,14939,189.2624165,62.25086321,26.99,4.402,0,91.5,1.8e-18,2.3e-19,7.9,2,2,2,1,1.75,-
congress-n-v1,14965,189.2660629,62.25080277,26.85,4.403,0,317.3,5.2e-18,3.0e-19,17.3,3,2,3,3,2.75,-
congress-n-v1,14973,189.1626122,62.25079732,27.31,5.127,0,79.9,3.9e-18,3.7e-18,1,0,-1,0,1,0,-
congress-n-v1,15130,189.336563,62.25031435,24.3,3.951,0.02,76,4.7e-18,6.7e-19,7,1,1,0,1,0.75,-
congress-n-v1,15141,189.2401749,62.25043484,27.13,4.404,0,190.6,2.4e-18,1.8e-19,12.8,2,1,3,2,2,-
congress-n-v1,15147,189.2567412,62.25030184,23.72,4.414,0,243.3,7.5e-18,5.5e-19,13.6,3,1,-1,-1,0.5,-
congress-n-v1,15196,189.2110683,62.25028704,25.17,4.406,0,208.4,3.3e-18,2.4e-19,13.9,2,2,2,1,1.75,-
congress-n-v1,15262,189.2629704,62.25010861,25.75,4.408,0,641.3,1.1e-17,4.5e-19,25,3,2,3,3,2.75,-
congress-n-v1,15272,189.102836,62.25005926,26.8,4.699,0,322,4.0e-18,2.3e-19,17.7,1,1,2,3,1.75,-
congress-n-v1,15281,189.070551,62.25004423,27.35,4.278,0.011,57.6,1.2e-18,2.3e-19,5.1,1,0,0,0,0.25,-
congress-n-v1,15295,189.2138224,62.24986322,25.15,4.395,0,1765.2,1.3e-17,3.1e-19,41.6,3,3,3,3,3,-
