root,id,ra,dec,m444,z_map,zwidth2,bic_diff,flux_ha,err_ha,sn_ha,q1,q2,q3,q4,q,multi_ids
congress-n-v1,18689,189.1396249,62.24137508,26.96,4.828,0,78.5,7.3e-19,1.1e-19,6.7,0,1,3,2,1.5,-
congress-n-v1,18758,189.3457132,62.24032846,27.66,4.62,0.068,59.5,1.3e-18,2.4e-19,5.5,1,1,0,1,0.75,-
congress-n-v1,18796,189.1116001,62.24028562,27.35,4.239,0,150.6,3.6e-18,3.2e-19,11.1,1,1,2,2,1.5,-
congress-n-v1,18819,189.1665824,62.24020185,26.58,4.41,0,74.2,1.5e-18,2.3e-19,6.7,0,1,1,1,0.75,-
congress-n-v1,18844,189.3575745,62.23986474,26.35,4.383,0.067,52.2,2.7e-18,4.9e-19,5.4,0,1,0,0,0.25,-
congress-n-v1,18859,189.1008699,62.24016863,26.1,4.869,0,63.8,2.0e-18,3.4e-19,5.7,0,0,0,1,0.25,-
congress-n-v1,18883,189.094742,62.23999261,26.15,3.878,0,463.6,8.9e-18,4.2e-19,21.3,3,2,3,3,2.75,-
congress-n-v1,18931,189.2190447,62.23989183,27.13,4.139,0,84.4,1.8e-18,2.5e-19,7.1,1,1,1,1,1,-
congress-n-v1,18958,189.3137074,62.23979002,27.66,4.382,0,72.5,2.0e-18,3.1e-19,6.5,0,1,1,2,1,-
congress-n-v1,18968,189.095323,62.23969963,25.65,3.846,0,399.5,7.9e-18,4.0e-19,20,3,1,3,3,2.5,-
congress-n-v1,19013,189.1237865,62.23962156,26.88,4.72,0,417.7,2.7e-18,1.4e-19,19.7,2,2,2,3,2.25,-
congress-n-v1,19033,189.0883164,62.23952257,27.2,5.096,0.032,53.2,1.2e-17,2.1e-18,5.4,0,1,0,0,0.25,-
congress-n-v1,19049,189.16747,62.23949637,26.62,4.406,0,95.4,2.4e-18,3.1e-19,7.8,1,2,0,2,1.25,-
congress-n-v1,19127,189.0777044,62.23928794,26.07,4.27,0,245.5,3.8e-18,2.5e-19,14.7,3,2,3,3,2.75,-
congress-n-v1,19134,189.2953174,62.23927304,27.97,4.056,0.093,52.9,2.0e-18,3.8e-19,5.2,0,1,0,0,0.25,-
congress-n-v1,19159,189.0709159,62.23918515,26.55,4.414,0,387.3,4.1e-18,2.1e-19,18.9,3,3,3,3,3,-
congress-n-v1,19185,189.0548496,62.23907837,26.53,4.04,0,100.5,3.6e-18,4.4e-19,8.2,2,-1,1,2,1,-
congress-n-v1,19206,189.1876393,62.23911358,26.63,4.288,0,280.9,2.9e-18,1.8e-19,15.9,3,2,3,3,2.75,-
congress-n-v1,19261,189.1279393,62.23885134,26.88,3.835,0.074,51.3,2.1e-18,3.7e-19,5.8,1,1,0,1,0.75,-
congress-n-v1,19266,189.240602,62.23887842,28.62,3.917,0.046,51.1,1.9e-18,3.6e-19,5.2,0,0,0,1,0.25,-
congress-n-v1,19285,189.3012537,62.23880845,27.17,4.857,0,171.7,2.3e-18,1.9e-19,12.3,-1,-1,-1,2,-0.25,-
congress-n-v1,19310,189.1852747,62.23875375,27.65,4.279,0.007,100.5,2.0e-18,2.3e-19,8.8,-1,-1,-1,-1,-1,-
congress-n-v1,19383,189.0437624,62.23845385,27.14,3.884,0,257,6.9e-18,4.4e-19,15.9,1,2,nan,3,2,-
congress-n-v1,19396,189.3012617,62.23890393,27.1,4.852,0,149,2.3e-18,2.1e-19,10.8,-1,-1,-1,-1,-1,-
congress-n-v1,19445,189.1438679,62.23840448,28.63,4.408,0,106.1,8.4e-19,9.5e-20,8.8,2,2,2,3,2.25,-
congress-n-v1,19451,189.1438344,62.23838486,28,4.408,0,119.4,1.4e-18,1.5e-19,9.4,-1,2,2,3,1.5,-
congress-n-v1,19602,189.2068367,62.23800878,27.69,4.373,0,-545.3,2.2e-18,1.5e-19,14.1,-1,-1,-1,-1,-1,-
congress-n-v1,19625,189.1632833,62.23784273,24.54,4.168,0,351.9,7.8e-18,4.5e-19,17.5,3,2,3,3,2.75,-
congress-n-v1,19640,189.188103,62.23781557,26.39,4.143,0,347.8,4.9e-18,2.8e-19,17.8,3,2,3,3,2.75,-
congress-n-v1,19653,189.1184212,62.2378478,27.38,4.887,0,719.5,3.3e-18,1.2e-19,26.4,-1,-1,3,3,1,-
congress-n-v1,19689,189.0449284,62.23756611,23.64,3.984,0,1915.4,3.3e-17,7.3e-19,45.6,3,3,3,3,3,-
congress-n-v1,19692,189.2865169,62.23812631,24.79,4.404,0,374.8,7.4e-18,3.6e-19,20.5,3,3,-1,2,1.75,-
congress-n-v1,19747,189.0412816,62.23743621,26.36,4.15,0,112,3.2e-18,3.5e-19,9,3,1,3,3,2.5,-
congress-n-v1,19757,189.3435354,62.23741662,25.21,3.744,0.041,53,0.0e+00,0.0e+00,-99,0,0,0,0,0,-
congress-n-v1,19826,189.2420507,62.23737356,28.19,4.798,0,84.1,2.0e-18,2.6e-19,7.6,2,1,3,2,2,-
congress-n-v1,19850,189.2175851,62.23725632,28.1,3.927,0,103.9,2.0e-18,2.4e-19,8.5,1,1,3,3,2,-
congress-n-v1,19922,189.3056637,62.23694114,25.56,4.402,0,520.1,5.6e-18,2.5e-19,22.3,3,3,3,3,3,-
congress-n-v1,19923,189.3365668,62.23691182,26.8,5.036,0,111.1,4.4e-18,4.9e-19,9,-1,1,2,2,1,-
congress-n-v1,19959,189.2330885,62.23678064,22.68,3.905,0,2450.4,4.5e-17,9.2e-19,48.7,3,3,3,3,3,-
congress-n-v1,19963,189.082629,62.23672775,24.57,3.979,0,563.9,8.5e-18,3.6e-19,23.3,3,2,3,3,2.75,-
congress-n-v1,20070,189.1804343,62.23650489,26.94,3.855,0,210.2,2.8e-18,2.1e-19,13.5,3,2,3,3,2.75,-
congress-n-v1,20126,189.3469142,62.23630467,27.49,4.323,0.077,9.7,4.3e-18,4.6e-19,9.3,-1,-1,0,0,-0.5,-
congress-n-v1,20129,189.2875194,62.23631481,26.7,3.756,0.003,60.6,5.0e-18,9.0e-19,5.5,0,1,0,0,0.25,-
congress-n-v1,20135,189.0541609,62.23629407,27.48,4.302,0,101,2.0e-18,2.4e-19,8.6,1,1,2,2,1.5,-
congress-n-v1,20146,189.0474514,62.23621232,26.09,3.833,0,284.9,9.7e-18,5.5e-19,17.7,-1,-1,2,3,0.75,-
congress-n-v1,20153,189.2815254,62.23600083,20.8,4.236,0,332.5,2.4e-17,1.9e-18,12.8,-1,-1,0,-1,-0.75,-
congress-n-v1,20355,189.3387467,62.2356004,27.08,4.435,0,94.6,2.8e-18,3.5e-19,8.1,-1,-1,0,-1,-0.75,-
congress-n-v1,20388,189.3539276,62.2355004,26.54,4.59,0.084,66.3,2.8e-18,4.5e-19,6.2,0,1,0,0,0.25,-
congress-n-v1,20417,189.1571439,62.23547311,27.94,4.882,0,153.3,2.0e-18,1.6e-19,12.3,2,2,3,3,2.5,-
congress-n-v1,20425,189.1385417,62.2354513,27.47,3.851,0,549.5,9.9e-18,2.9e-19,33.8,-1,-1,2,3,0.75,-
congress-n-v1,20482,189.3218404,62.23528984,27.26,3.903,0.04,61.3,2.7e-18,4.5e-19,6.1,2,1,0,1,1,-
congress-n-v1,20505,189.165263,62.23523161,25.64,4.758,0,91.6,3.5e-18,3.5e-19,10.1,1,2,0,1,1,-
congress-n-v1,20514,189.1567094,62.2352361,26.94,3.765,0.001,12.5,5.3e-18,7.7e-19,6.9,-1,1,0,0,0,-
congress-n-v1,20515,189.1565273,62.23520023,27.06,4.618,0,80.1,1.8e-18,2.3e-19,7.8,-1,-1,0,-1,-0.75,-
congress-n-v1,20604,189.277882,62.23494421,24.76,3.854,0,157.3,7.6e-18,6.8e-19,11.2,1,2,3,3,2.25,-
congress-n-v1,20630,189.2202016,62.23477225,22.7,3.903,0,2668.8,3.6e-17,6.9e-19,51.7,3,3,3,3,3,-
congress-n-v1,20725,189.0827131,62.23453574,25.08,4.118,0,321.8,6.9e-18,4.0e-19,17.5,1,1,2,3,1.75,-
congress-n-v1,20727,189.2174212,62.23459784,27.42,4.286,0.001,70.1,1.0e-18,1.7e-19,6.2,0,1,0,1,0.5,-
congress-n-v1,20737,189.0274696,62.23447034,26.3,4.171,0,167.9,4.9e-18,4.2e-19,11.7,3,2,3,3,2.75,-
congress-n-v1,20751,189.1430891,62.23450151,25.32,3.975,0,507.7,6.3e-18,2.9e-19,22.1,3,2,3,3,2.75,-
congress-n-v1,20841,189.0368167,62.23418907,27.83,4.172,0,101.2,2.5e-18,2.8e-19,8.9,3,2,3,3,2.75,-
congress-n-v1,20886,189.1947076,62.23416276,25.9,4.263,0,99.9,2.4e-18,3.0e-19,8,2,2,2,3,2.25,-
congress-n-v1,20894,189.2271653,62.23413627,26.48,4.76,0,176.9,3.1e-18,2.6e-19,12,3,2,3,3,2.75,-
congress-n-v1,20900,189.1895803,62.23412218,27.64,4.819,0,220.4,1.9e-18,1.4e-19,13.6,2,2,3,3,2.5,-
congress-n-v1,20920,189.3221391,62.23400217,25.73,4.443,0,133.7,4.1e-18,3.9e-19,10.4,2,1,2,3,2,-
congress-n-v1,20939,189.1392003,62.23569067,23.61,3.81,0.118,63.6,4.2e-18,7.2e-19,5.8,0,0,0,0,0,-
congress-n-v1,20954,189.2878841,62.23395047,26.65,3.919,0.064,59.8,2.1e-18,4.1e-19,5.2,0,0,0,1,0.25,-
congress-n-v1,21030,189.1908378,62.23374064,27.35,4.603,0.013,58.5,8.3e-19,1.6e-19,5.3,0,0,0,1,0.25,-
congress-n-v1,21034,189.2159708,62.23342386,24.99,3.867,0.001,-16.4,4.0e-18,4.2e-19,9.4,-1,-1,0,-1,-0.75,-
congress-n-v1,21035,189.3467184,62.23353063,24.58,4.461,0.084,59.6,2.6e-29,1.2e-08,0,0,0,0,0,0,-
congress-n-v1,21112,189.3108404,62.23343189,26.72,3.909,0,89.6,2.4e-18,3.1e-19,7.7,1,1,1,2,1.25,-
congress-n-v1,21173,189.1509216,62.23326059,26.71,3.976,0,216.9,3.9e-18,2.9e-19,13.4,3,2,3,3,2.75,-
congress-n-v1,21206,189.0790944,62.23308577,24.71,3.846,0,182.5,8.0e-18,6.2e-19,12.8,1,2,3,3,2.25,-
congress-n-v1,21269,189.240483,62.23299862,27.77,4.341,0,312.2,5.1e-18,3.0e-19,16.8,-1,-1,2,2,0.5,-
congress-n-v1,21299,189.2936532,62.23289326,27.3,4.557,0,74.1,1.5e-18,2.2e-19,6.6,1,-1,1,2,0.75,-
congress-n-v1,21318,189.1461195,62.2328361,26.98,4.407,0,349.2,3.2e-18,1.8e-19,17.9,3,2,3,3,2.75,-
congress-n-v1,21337,189.1478447,62.232721,24.7,3.977,0,397.5,6.8e-18,3.6e-19,19.2,3,2,3,3,2.75,-
congress-n-v1,21360,189.055895,62.23261824,26.97,3.79,0,294.7,1.3e-17,8.1e-19,16.4,-1,1,2,0,0.5,-
congress-n-v1,21376,189.1525627,62.2326494,27.09,4.411,0,139.2,2.5e-18,2.4e-19,10.6,3,2,3,3,2.75,-
congress-n-v1,21434,189.2932482,62.23248514,27.69,4.962,0.082,49.5,1.2e-18,2.2e-19,5.1,1,1,0,1,0.75,-
congress-n-v1,21482,189.2160346,62.23211135,22.68,3.791,0,96.2,7.5e-18,9.5e-19,7.9,-1,1,0,0,0,-
congress-n-v1,21510,189.2271841,62.23220773,27.31,4.426,0,198.6,4.6e-18,3.5e-19,12.9,2,2,3,3,2.5,-
congress-n-v1,21593,189.2688636,62.23186208,26.44,4.117,0,82.9,3.6e-18,5.1e-19,7.1,0,1,1,2,1,-
congress-n-v1,21637,189.3281822,62.23166893,27.26,4.894,0.063,48.1,1.4e-18,2.5e-19,5.4,0,1,0,2,0.75,-
congress-n-v1,21648,189.1679957,62.23165812,26.71,4.532,0,91.4,1.7e-18,2.0e-19,8.2,1,2,1,2,1.5,-
congress-n-v1,21709,189.2279883,62.23134734,24.12,4.623,0.001,181.8,8.4e-18,7.1e-19,11.8,3,2,1,2,2,-
congress-n-v1,21729,189.2034191,62.23148473,26.89,4.943,0,76.1,1.1e-18,1.5e-19,7,0,1,3,2,1.5,-
congress-n-v1,21782,189.2454001,62.23127231,27.68,4.415,0.056,59,1.1e-18,2.1e-19,5.2,1,1,0,1,0.75,-
congress-n-v1,21841,189.0639036,62.23107278,27.88,4.414,0,91.5,1.1e-18,1.5e-19,7.5,3,2,3,3,2.75,-
congress-n-v1,21861,189.1193342,62.23103085,27.09,4.143,0,162.7,2.1e-18,1.8e-19,11.3,3,2,3,3,2.75,-
congress-n-v1,21873,189.0996025,62.23100273,27.77,4.477,0,152.2,1.8e-18,1.5e-19,11.5,-1,-1,3,2,0.75,-
congress-n-v1,21875,189.1731421,62.23104076,27.17,4.44,0,105.3,1.3e-18,1.6e-19,8.5,1,1,2,2,1.5,-
congress-n-v1,21900,189.0476984,62.23190224,27.65,4.282,0,81.3,1.1e-18,1.5e-19,7.1,1,1,1,2,1.25,-
congress-n-v1,21912,189.1476515,62.23083018,26.28,4.431,0,119,2.9e-18,3.0e-19,9.6,-1,-1,1,2,0.25,-
congress-n-v1,21917,189.2323672,62.23083329,26.13,3.98,0,641.4,1.1e-17,4.5e-19,24.7,3,2,3,3,2.75,-
congress-n-v1,22081,189.1292597,62.23030507,26.4,3.748,0,94.5,1.2e-17,1.4e-18,8.5,0,1,0,0,0.25,-
congress-n-v1,22110,189.1476862,62.23024372,27.68,4.287,0.001,79.4,1.7e-18,2.4e-19,7,-1,-1,0,0,-0.5,-
congress-n-v1,22176,189.119859,62.22997981,27.5,4.887,0,192.4,1.8e-18,1.4e-19,12.8,2,2,3,3,2.5,-
congress-n-v1,22230,189.2842274,62.22980964,27.38,4.256,0,63.3,2.2e-18,3.3e-19,6.6,1,1,0,1,0.75,-
congress-n-v1,22265,189.1929479,62.22971016,26.88,4,0,69.3,1.9e-18,3.0e-19,6.4,1,1,0,1,0.75,-
congress-n-v1,22271,189.0473108,62.22962535,27.74,5.13,0,58.2,0.0e+00,0.0e+00,-99,0,0,0,0,0,-
congress-n-v1,22272,189.1450374,62.22993951,27.1,3.979,0,47.6,2.3e-18,3.1e-19,7.3,0,1,0,0,0.25,-
congress-n-v1,22292,189.2563938,62.22958121,25.69,4.411,0,198.1,5.2e-18,4.0e-19,13.1,3,2,3,3,2.75,-
congress-n-v1,22321,189.2090675,62.22958596,26.37,4.245,0,225,3.2e-18,2.2e-19,14.1,3,2,3,3,2.75,-
congress-n-v1,22359,189.2002525,62.22937207,24.27,4.245,0,1637.6,1.6e-17,4.1e-19,39.4,3,3,3,3,3,-
congress-n-v1,22404,189.1216639,62.22917749,24.09,4.055,0,363.9,9.0e-18,5.0e-19,18.2,3,3,3,3,3,-
congress-n-v1,22480,189.0630224,62.22895898,27.6,3.8,0.101,59.5,1.7e-18,3.4e-19,5.1,0,1,0,0,0.25,-
congress-n-v1,22497,189.2416032,62.23063645,26.75,4.149,0,1452.1,9.5e-18,2.5e-19,38.2,3,2,3,3,2.75,-
congress-n-v1,22501,189.1276402,62.22893085,26.94,5.037,0,100.4,2.3e-18,2.7e-19,8.2,-1,-1,0,0,-0.5,-
congress-n-v1,22559,189.0940399,62.22867645,27.02,4.913,0,67.7,1.1e-18,1.7e-19,6.1,1,1,0,2,1,-
congress-n-v1,22607,189.1192805,62.22856119,27.84,4.424,0,269.8,2.6e-18,1.7e-19,15.6,3,2,3,3,2.75,-
congress-n-v1,22627,189.3128918,62.22845641,25.35,4.407,0,1157.5,1.5e-17,4.4e-19,34.9,3,3,3,3,3,-
congress-n-v1,22628,189.2461999,62.22883146,27.74,4.922,0,79.6,1.0e-18,1.4e-19,7,-1,1,0,0,0,-
congress-n-v1,22648,189.2734902,62.2283555,25.68,4.956,0.001,66.2,1.9e-18,3.3e-19,5.7,0,1,0,1,0.5,-
congress-n-v1,22655,189.289574,62.22845869,26.97,4.372,0,69.7,2.3e-18,3.6e-19,6.6,0,2,1,2,1.25,-
congress-n-v1,22656,189.2893037,62.22842592,26.29,4.26,0,70.6,2.3e-18,3.6e-19,6.2,0,1,0,1,0.5,-
congress-n-v1,22657,189.2891983,62.22839709,26.83,4.373,0,75.8,1.9e-18,2.6e-19,7.1,0,2,1,2,1.25,-
congress-n-v1,22667,189.0937552,62.22840469,27.37,4.909,0,117.2,9.5e-19,1.0e-19,9.3,2,2,3,2,2.25,-
congress-n-v1,22794,189.3121815,62.22861607,27.84,4.408,0,85.3,2.3e-18,3.0e-19,7.5,1,2,1,1,1.25,-
congress-n-v1,22895,189.1203925,62.22757582,26.18,4.426,0,1147.9,6.5e-18,1.9e-19,34,3,3,3,3,3,-
congress-n-v1,22905,189.1566706,62.22754794,26.05,4.353,0,568.2,1.3e-17,3.6e-19,36.3,-1,2,2,2,1.25,-
congress-n-v1,22911,189.0895415,62.2274635,25.86,4.063,0,163.2,3.3e-18,2.9e-19,11.4,2,2,3,3,2.5,-
congress-n-v1,22966,189.1427707,62.22737187,27.73,4.411,0,193.8,2.6e-18,2.1e-19,12.7,3,2,3,3,2.75,-
congress-n-v1,22974,189.0500241,62.22726494,26.54,4.41,0,139.1,2.6e-18,2.3e-19,11.2,-1,-1,-1,-1,-1,-
congress-n-v1,22977,189.2180642,62.22730299,25.87,3.89,0.041,55.2,5.5e-18,8.4e-19,6.6,0,1,0,0,0.25,-
congress-n-v1,23009,189.3180702,62.22699692,25.16,4.41,0,157.5,7.1e-18,6.3e-19,11.3,1,2,3,1,1.75,-
congress-n-v1,23043,189.0662514,62.22687876,26.47,4.023,0,114.7,4.2e-18,4.7e-19,9.1,2,2,3,2,2.25,-
congress-n-v1,23059,189.0698108,62.22687947,27.28,3.884,0.088,64.2,2.2e-18,3.7e-19,6,1,1,0,0,0.5,-
congress-n-v1,23063,189.280416,62.22688636,26.98,3.908,0,95.7,4.0e-18,5.0e-19,8.1,2,2,1,3,2,-
congress-n-v1,23069,189.0931968,62.22679435,24.06,4.161,0,987.8,1.1e-17,3.5e-19,30.7,3,3,3,3,3,-
congress-n-v1,23079,189.1699842,62.22682182,26.45,3.893,0,532.7,8.6e-18,3.7e-19,23.1,2,1,3,3,2.25,-
congress-n-v1,23104,189.1161759,62.22676726,27.65,4.915,0,120.9,1.2e-18,1.3e-19,9.4,2,2,3,1,2,-
congress-n-v1,23270,189.1454074,62.22626172,27.22,4.584,0.044,62.2,1.2e-18,2.1e-19,5.5,2,2,0,2,1.5,-
congress-n-v1,23340,189.1404598,62.22599937,27.42,4.52,0.059,54.4,1.2e-18,2.2e-19,5.2,0,1,0,0,0.25,-
congress-n-v1,23371,189.2856723,62.22587695,25.87,3.852,0,98.5,4.1e-18,5.0e-19,8.3,2,2,3,2,2.25,-
congress-n-v1,23393,189.0548657,62.225726,24.1,4.04,0,306.8,7.6e-18,4.6e-19,16.4,-1,-1,3,2,0.75,-
congress-n-v1,23427,189.2248021,62.22575924,26.69,5.001,0.075,44.2,9.9e-19,1.9e-19,5.1,0,0,0,0,0,-
congress-n-v1,23511,189.1977795,62.22543615,27.43,4.613,0,96.5,1.3e-18,1.6e-19,8.2,2,1,0,1,1,-
congress-n-v1,23555,189.0728754,62.22523513,27.68,4.796,0,64.5,9.8e-19,1.6e-19,6,1,1,0,0,0.5,-
congress-n-v1,23566,189.2045412,62.22515973,24.39,4.242,0,241.2,8.8e-18,6.2e-19,14.2,3,2,3,3,2.75,-
congress-n-v1,23575,189.250487,62.22517356,26.97,4.718,0,351.4,3.7e-18,2.0e-19,18.1,3,2,3,3,2.75,-
congress-n-v1,23576,189.280275,62.22529509,25.2,3.901,0.04,113.9,5.6e-18,6.1e-19,9.2,2,1,2,2,1.75,-
congress-n-v1,23580,189.1974061,62.22514876,25.09,4.611,0,338.2,3.9e-18,2.3e-19,17.2,3,2,3,2,2.5,-
congress-n-v1,23589,189.2558711,62.22514015,25.7,4.715,0,567,6.8e-18,2.9e-19,23.3,3,2,3,3,2.75,-
congress-n-v1,23688,189.1811885,62.22495902,26.94,3.759,0.001,54.2,4.4e-18,7.7e-19,5.7,0,1,0,0,0.25,-
congress-n-v1,23762,189.2596099,62.22464944,27.56,4.402,0,114,2.7e-18,3.0e-19,9.2,1,2,0,1,1,-
congress-n-v1,23813,189.1273688,62.22443401,25.24,3.976,0,313.2,5.4e-18,3.2e-19,16.7,3,2,3,3,2.75,-
congress-n-v1,23830,189.2496971,62.22439909,27.28,4.482,0.032,58.4,1.2e-18,2.3e-19,5.4,1,1,0,1,0.75,-
congress-n-v1,23870,189.1453475,62.22428529,27.33,4.143,0.053,57,1.5e-18,2.9e-19,5.2,1,1,0,0,0.5,-
congress-n-v1,23904,189.0646232,62.22409021,26.19,4.046,0,89.5,3.3e-18,3.9e-19,8.4,2,2,3,1,2,-
congress-n-v1,23934,189.1611746,62.22404431,27.46,4.381,0,125.4,1.9e-18,2.0e-19,9.7,-1,1,1,1,0.5,-
congress-n-v1,23937,189.163548,62.22401223,26.46,3.965,0,804.8,9.0e-18,3.1e-19,29.5,-1,1,3,2,1.25,-
congress-n-v1,23944,189.2880374,62.22395581,27.29,4.373,0,474,7.0e-18,3.3e-19,21.2,3,3,3,3,3,-
congress-n-v1,23992,189.173738,62.223828,26.45,4.089,0,378.9,5.1e-18,2.7e-19,19,3,3,3,3,3,-
congress-n-v1,24060,189.2974713,62.22357076,27.04,5.103,0,91.9,1.2e-17,1.5e-18,7.8,0,1,1,0,0.5,-
congress-n-v1,24134,189.172607,62.2232382,27.66,4.091,0,74.3,1.6e-18,2.2e-19,7,2,2,3,3,2.5,-
congress-n-v1,24162,189.2856495,62.22302691,27.36,4.149,0,556.1,7.3e-18,3.2e-19,23.1,3,1,3,3,2.5,-
congress-n-v1,24165,189.1745045,62.22297363,27.16,4.046,0,182.3,3.4e-18,2.6e-19,13,2,2,1,2,1.75,-
congress-n-v1,24292,189.1107272,62.22248169,26.79,4.426,0,1379.7,6.0e-18,1.6e-19,37.3,3,3,3,3,3,-
congress-n-v1,24294,189.1499844,62.22213554,25.74,4.206,0,157.5,3.0e-18,2.7e-19,11.2,2,2,2,2,2,-
congress-n-v1,24342,189.253528,62.22228243,25.85,4.716,0,426.8,6.2e-18,3.1e-19,20,3,2,3,3,2.75,-
congress-n-v1,24348,189.2486863,62.22230238,26.53,4.714,0,104.3,1.8e-18,2.0e-19,8.8,2,2,3,3,2.5,-
congress-n-v1,24428,189.2695609,62.22205111,27.11,4.151,0,53,2.4e-18,3.4e-19,7.2,2,1,1,2,1.5,-
congress-n-v1,24434,189.2706631,62.22203929,27.98,4.417,0,90.9,2.1e-18,2.8e-19,7.7,2,2,3,2,2.25,-
congress-n-v1,24539,189.1080936,62.22203627,25.63,3.972,0,527.8,5.6e-18,2.5e-19,22.6,3,3,3,3,3,-
congress-n-v1,24549,189.1893837,62.22163952,28.03,4.287,0,61.5,1.5e-18,2.2e-19,6.8,2,2,0,3,1.75,-
congress-n-v1,24643,189.2703949,62.22120056,25.44,4.156,0.018,63.9,2.8e-18,4.4e-19,6.3,1,2,0,1,1,-
congress-n-v1,24673,189.2710764,62.22103441,25.43,4.153,0,297.4,9.6e-18,5.9e-19,16.3,3,2,3,3,2.75,-
congress-n-v1,24701,189.1434439,62.22098882,26.31,4.052,0,459.9,4.4e-18,2.1e-19,20.6,3,3,3,3,3,-
congress-n-v1,24724,189.1650287,62.22094437,27.22,4.872,0,62.2,7.2e-19,1.3e-19,5.7,-1,1,0,0,0,-
congress-n-v1,24748,189.1134275,62.22088899,26.84,3.869,0,199.3,4.9e-18,3.7e-19,13.2,1,2,-1,1,0.75,-
congress-n-v1,24802,189.1835133,62.22062923,26.5,4.839,0.065,59.9,1.6e-18,2.7e-19,5.6,0,1,0,0,0.25,-
congress-n-v1,24855,189.1044313,62.22033407,26.18,4.912,0,113.1,1.7e-18,1.9e-19,8.9,1,1,1,2,1.25,-
congress-n-v1,24868,189.2725414,62.2203471,27.17,4.239,0.05,178.7,5.1e-18,4.2e-19,12.1,2,1,3,3,2.25,-
congress-n-v1,24888,189.2634659,62.22026747,27.1,3.896,0.04,112.4,3.8e-18,4.0e-19,9.5,3,2,3,3,2.75,-
congress-n-v1,24899,189.1480071,62.22027794,27.47,4.08,0,362.9,3.7e-18,2.0e-19,18.3,2,2,3,3,2.5,-
congress-n-v1,24970,189.0776446,62.21985042,26.08,3.993,0,159.1,5.3e-18,4.6e-19,11.5,3,2,3,3,2.75,-
congress-n-v1,25060,189.2175223,62.21963963,27.02,3.986,0.061,46.1,2.7e-18,4.4e-19,6.2,1,1,0,1,0.75,-
congress-n-v1,25062,189.0970108,62.21961939,27.17,4.876,0,375.7,2.3e-18,1.2e-19,20.2,-1,-1,2,-1,-0.25,-
congress-n-v1,25067,189.0637458,62.21966272,26.89,4.046,0.04,79.1,2.4e-18,3.3e-19,7.2,3,2,3,3,2.75,-
congress-n-v1,25068,189.1065963,62.21958725,26.43,3.924,0.044,62.4,1.4e-18,2.3e-19,5.9,1,1,0,2,1,-
congress-n-v1,25079,189.0969781,62.21954668,27.19,4.871,0,2661.6,9.9e-18,1.5e-19,68.3,-1,-1,2,-1,-0.25,-
congress-n-v1,25083,189.0781735,62.2195045,27.68,3.992,0,150.6,2.9e-18,2.6e-19,11.2,2,1,3,3,2.25,-
congress-n-v1,25089,189.0600937,62.21945067,25.89,4.912,0,129.7,2.1e-18,2.1e-19,10.1,2,2,3,3,2.5,-
congress-n-v1,25158,189.1515411,62.21927345,26.96,4.411,0,177.7,2.5e-18,2.0e-19,12.4,3,2,3,3,2.75,-
congress-n-v1,25184,189.1715961,62.21920758,27.85,4.245,0,81.2,1.3e-18,1.8e-19,7,2,1,0,1,1,-
congress-n-v1,25190,189.2284812,62.21916251,27.48,4.569,0,80.3,1.4e-18,1.9e-19,7.5,-1,1,0,2,0.5,-
congress-n-v1,25265,189.1461527,62.21878659,27.61,3.887,0,106.9,2.8e-18,2.8e-19,10.1,-1,-1,0,1,-0.25,-
congress-n-v1,25274,189.2709589,62.21871435,25.86,4.026,0.052,71.9,-4.10E-18,5.1e-19,-8.1,-1,-1,-1,-1,-1,-
congress-n-v1,25289,189.2798114,62.21868981,27.35,4.373,0,67.1,1.8e-18,2.8e-19,6.4,1,1,0,1,0.75,-
congress-n-v1,25318,189.2620859,62.21851006,24.39,4.148,0,1607.2,2.1e-17,5.2e-19,40.8,3,3,3,3,3,-
congress-n-v1,25392,189.2162497,62.21826332,28.29,3.818,0.04,59.2,2.2e-18,3.8e-19,5.9,0,1,0,1,0.5,-
congress-n-v1,25401,189.1173873,62.21824264,27.85,4.911,0,82.7,1.3e-18,1.7e-19,7.8,2,2,1,3,2,-
congress-n-v1,25437,189.263112,62.21803022,27.29,4.207,0,609.7,1.0e-17,4.1e-19,25.4,-1,-1,3,3,1,-
congress-n-v1,25438,189.0747189,62.21799336,27.84,5.146,0,349.3,0.0e+00,0.0e+00,-99,0,0,-1,0,-0.25,-
congress-n-v1,25445,189.1195447,62.2180118,27.62,4.191,0.015,63,1.4e-18,2.5e-19,5.6,-1,1,0,0,0,-
congress-n-v1,25454,189.1382769,62.21985727,28.22,4.206,0,123.6,1.6e-18,1.7e-19,9.5,2,2,3,3,2.5,-
congress-n-v1,25507,189.1384178,62.21770157,27.44,5.094,0.071,64.5,4.0e-18,7.2e-19,5.6,0,1,0,0,0.25,-
congress-n-v1,25542,189.1998236,62.21753404,25.46,4.079,0,122.6,5.7e-18,5.9e-19,9.7,1,2,0,2,1.25,-
congress-n-v1,25543,189.2000432,62.2174857,27.32,4.088,0,67.3,1.6e-18,2.6e-19,6.2,1,2,0,2,1.25,-
congress-n-v1,25562,189.1441713,62.21751177,27.71,4.188,0.064,137.5,2.0e-18,2.0e-19,10.3,-1,-1,1,2,0.25,-
