slit,targetnum,name,ra,dec,pmra,pmdec,mag,priority,epoch,type,wave_start,wave_end,side
15,37,z5_GNW_7248,189.089371,62.149796,0,0,0.0010000000474974513,3.9998779296875,2000,TARGET,7538.122875121422,10060.801946045802,A
228,594,3DHST_4008,189.047928,62.155499,0,0,0.0010000000474974513,505.99993896484375,2000,TARGET,7394.090243934477,9916.83304171809,A
137,339,3DHST_3907,189.087906,62.154858,0,0,0.0010000000474974513,197,2000,TARGET,7526.168668320015,10048.852374518767,A
237,619,3DHST_5147,188.996262,62.1637,0,0,0.0010000000474974513,535.9999389648438,2000,TARGET,7212.981665626834,9735.804462386293,A
119,290,3DHST_4650,189.070755,62.160389,0,0,0.0010000000474974513,117,2000,TARGET,7462.160755283379,9984.872378871365,A
99,243,3DHST_5474,189.027252,62.16642,0,0,0.0010000000474974513,56.9998779296875,2000,TARGET,7311.006238999491,9833.784763719368,A
20,42,z5_GNW_11071,188.972427,62.173115,0,0,0.0010000000474974513,3.9998779296875,2000,TARGET,7121.693773466255,9644.556208586211,A
9,20,z7_GNW_11595,188.96524,62.176491,0,0,0.0010000000474974513,3,2000,TARGET,7093.469898858375,9616.3445446957,A
246,635,3DHST_6794,189.015152,62.175106,0,0,0.0010000000474974513,552.9999389648438,2000,TARGET,7259.380854472321,9782.18139604821,A
17,39,z5_GNW_11014,189.073074,62.172878,0,0,0.0010000000474974513,3.9998779296875,2000,TARGET,7452.582282172853,9975.296608854807,A
16,38,z5_GNW_10657,189.130219,62.17078,0,0,0.0010000000474974513,3.9998779296875,2000,TARGET,7642.9142344406955,10165.543617960593,A
111,272,3DHST_8302,188.99614,62.183334,0,0,0.0010000000474974513,93,2000,TARGET,7185.823785864488,9708.656279676983,A
21,43,z5_GNW_13514,188.967331,62.189121,0,0,0.0010000000474974513,3.9998779296875,2000,TARGET,7083.406170496756,9606.283842799761,A
116,281,3DHST_10617,188.926453,62.194798,0,0,0.0010000000474974513,105.9998779296875,2000,TARGET,6941.41192889902,9464.352508304515,A
62,122,z8_GNW_13554,189.039001,62.189419,0,0,0.0010000000474974513,3.9998779296875,2000,TARGET,7318.549710626359,9841.322169111687,A
22,44,z6_GNW_14534,188.985962,62.195339,0,0,0.0010000000474974513,3.9998779296875,2000,TARGET,7136.479522926233,9659.332804293888,A
1,9,z6_GNW_15180,188.962036,62.199577,0,0,0.0010000000474974513,3,2000,TARGET,7052.265262151237,9575.155780523104,A
270,705,3DHST_8927,189.161026,62.187035,0,0,0.0010000000474974513,632.9999389648438,2000,TARGET,7722.147342822409,10244.739559551088,A
136,336,3DHST_11289,189.036804,62.198158,0,0,0.0010000000474974513,190.9998779296875,2000,TARGET,7299.890649939713,9822.670597213357,A
2,10,z6_GNW_16070,188.954025,62.206898,0,0,0.0010000000474974513,3,2000,TARGET,7016.455557415585,9539.361399206684,A
98,241,3DHST_11593,189.102158,62.199467,0,0,0.0010000000474974513,55,2000,TARGET,7512.7867495461305,10035.47142567723,A
4,15,z6_GND_36607,189.155594,62.197659,0,0,0.0010000000474974513,3,2000,TARGET,7690.454190119715,10213.059626739758,A
264,686,3DHST_11771,189.150436,62.200638,0,0,0.0010000000474974513,610.9998779296875,2000,TARGET,7669.693972742402,10192.308442303762,A
218,558,3DHST_13668,189.060745,62.209827,0,0,0.0010000000474974513,467,2000,TARGET,7363.560585309292,9886.311091981304,A
117,283,3DHST_14454,189.058762,62.213013,0,0,0.0010000000474974513,108.9998779296875,2000,TARGET,7353.020774095655,9875.775749098571,A
51,97,z5_GNW_17295,188.985779,62.220367,0,0,0.0010000000474974513,3.9998779296875,2000,TARGET,7103.898632057629,9626.764328744783,A
28,73,z5_GND_32925,189.156342,62.210011,0,0,0.0010000000474974513,3.9998779296875,2000,TARGET,7677.1374851266155,10199.74793489876,A
5,16,z6_GND_31259,189.128204,62.214882,0,0,0.0010000000474974513,3,2000,TARGET,7578.685949641817,10101.340030498188,A
