# spec1d,lambda1d,ivar1d,EW_spec_slitloss_cor,spec1d_slitloss_cor,err_slitloss_cor,OneSigUppLimFluxSpec_slitloss_cor
1.194094381357402848e-19,7.447810058593750000e+03,2.645497001145577594e+36,9.807239701091328143e+00,1.843293284898253081e-19,9.490785309125205992e-19,1.423617796368780899e-18
1.262993174449123794e-19,7.448140136718750000e+03,7.496186547957039762e+36,5.826130846597860291e+00,1.949650608595893717e-19,5.638136594314005953e-19,8.457204891471008448e-19
-2.214267261597304110e-19,7.448470214843750000e+03,9.154522554674166423e+36,5.272087109557885398e+00,-3.418108348883280224e-19,5.101970423161210799e-19,7.652955634741815235e-19
3.576478471443741266e-19,7.448799804687500000e+03,9.141799719440758934e+36,5.275754471356458808e+00,5.520919328421346938e-19,5.105519448630350661e-19,7.658279172945527436e-19
4.708483310273945827e-19,7.449129882812500000e+03,9.018136089223859830e+36,5.311803912767276259e+00,7.268366557438584100e-19,5.140405667318967653e-19,7.710608500978452442e-19
2.229574794715303776e-19,7.449459960937500000e+03,8.995895158168693775e+36,5.318366157677730577e+00,3.441738200463932492e-19,5.146756165470256825e-19,7.720134248205385238e-19
6.888017023248996637e-19,7.449790039062500000e+03,9.096464653818685466e+36,5.288884814939197376e+00,1.063285760610200535e-18,5.118226109808925387e-19,7.677339164713387599e-19
1.729620281203972195e-19,7.450120117187500000e+03,9.099847252221240644e+36,5.287901730516193943e+00,2.669971067230785768e-19,5.117274746990859567e-19,7.675912120486289831e-19
-8.801330830174999232e-21,7.450450195312500000e+03,9.059269826443327961e+36,5.299731034141085040e+00,-1.358639172138749717e-20,5.128722349423561712e-19,7.693083524135341605e-19
3.369017969088870055e-19,7.450780273437500000e+03,9.165026868093913187e+36,5.269064994437815841e+00,5.200667799863242945e-19,5.099045823920421234e-19,7.648568735880632332e-19
2.695741886769301849e-19,7.451109863281250000e+03,9.179495718721217731e+36,5.264910769523454270e+00,4.161348546043885175e-19,5.095025645155581649e-19,7.642538467733372473e-19
4.229394572604319387e-19,7.451439941406250000e+03,9.009723078565911281e+36,5.314283336122881174e+00,6.528809394450407280e-19,5.142805086062233723e-19,7.714207629093347695e-19
3.496854369020049522e-19,7.451770019531250000e+03,9.119714012858926767e+36,5.282138898840979202e+00,5.398005616067388853e-19,5.111697867066530454e-19,7.667546800599797125e-19
-7.332539394200350889e-20,7.452100097656250000e+03,9.145174248408973739e+36,5.274781016480885043e+00,-1.131905554334565579e-19,5.104577404638996465e-19,7.656866106958495180e-19
-2.612178656802209398e-19,7.452430175781250000e+03,8.953561723099588260e+36,5.330924244355932373e+00,-4.032354102164455467e-19,5.158909035002233286e-19,7.738363552503351374e-19
3.617410754487885308e-19,7.452759765625000000e+03,8.783623648729617276e+36,5.382246292200232318e+00,5.584105458135026979e-19,5.208575052409833759e-19,7.812862578614751120e-19
7.555853513742049229e-20,7.453089843750000000e+03,8.630605988519981349e+36,5.429749347036647578e+00,1.166377989964506971e-19,5.254545305887971630e-19,7.881817958831957445e-19
-2.436053825703921474e-19,7.453419921875000000e+03,8.301642767511855037e+36,5.536284585515916845e+00,-3.760474656506011305e-19,5.357642926327561786e-19,8.036464389491342679e-19
-7.129490325352654672e-19,7.453750000000000000e+03,7.519511696280810227e+36,5.817087645352593483e+00,-1.100561383307955765e-18,5.629385193905540612e-19,8.444077790858310917e-19
-4.411228963500737861e-19,7.454080078125000000e+03,6.277729358724146884e+36,6.366476385453504250e+00,-6.809502543112507051e-19,6.161046572893588410e-19,9.241569859340381171e-19
-7.468552578633223004e-19,7.454410156250000000e+03,5.390580693723281465e+36,6.870409940728021247e+00,-1.152901565490546417e-18,6.648719488917290084e-19,9.973079233375932237e-19
6.222793741434388145e-19,7.454740234375000000e+03,4.821970931885640875e+36,7.264205688804926453e+00,9.605969256679453562e-19,7.029808461406496148e-19,1.054471269210974422e-18
4.365610163958657286e-19,7.455069824218750000e+03,4.658335168961168269e+36,7.390691260943427210e+00,6.739081956453815257e-19,7.152212669568635642e-19,1.072831900435295346e-18
2.168804822291711265e-19,7.455399902343750000e+03,5.004148578216126721e+36,7.130751943720902375e+00,3.347929131565607030e-19,6.900660925311275005e-19,1.035099138796691154e-18
-1.171108713765292328e-19,7.455729980468750000e+03,5.723186333099804174e+36,6.667783408123538536e+00,-1.807810891393246451e-19,6.452631193179231464e-19,9.678946789768849122e-19
-1.811025882310679861e-19,7.456060058593750000e+03,6.766796794670133747e+36,6.132094788379631289e+00,-2.795634834028284338e-19,5.934227866913505349e-19,8.901341800370258505e-19
5.115545264775330197e-19,7.456390136718750000e+03,7.851349245387593199e+36,5.692830835967092717e+00,7.896737797588802934e-19,5.509137832056778152e-19,8.263706748085167229e-19
2.457024980161746061e-20,7.456720214843750000e+03,8.579704944172619207e+36,5.445832137993410704e+00,3.792847297054515883e-20,5.270109146560203285e-19,7.905163719840306372e-19
-1.393570789363243171e-19,7.457049804687500000e+03,8.959162732635412917e+36,5.329257613971227769e+00,-2.151219969014134298e-19,5.157296182491945940e-19,7.735944273737919873e-19
