# spec1d,lambda1d,ivar1d,EW_spec_slitloss_cor,spec1d_slitloss_cor,err_slitloss_cor,OneSigUppLimFluxSpec_slitloss_cor
-3.643235278151868598e-20,7.508859863281250000e+03,1.652944811314569767e+37,1.096289890315327753e+01,-4.529804132957398956e-20,3.058179890845670115e-19,4.587269836268504691e-19
-2.190523494131919107e-19,7.509189941406250000e+03,3.856609305377591347e+37,7.177145713505650448e+00,-2.723579900689966814e-19,2.002116674486430421e-19,3.003175011729645992e-19
-1.875240151865021410e-19,7.509520019531250000e+03,4.499631555134862741e+37,6.644558189294316186e+00,-2.331573434509255308e-19,1.853547534968970676e-19,2.780321302453456495e-19
5.123846447417127408e-20,7.509850097656250000e+03,4.501758818769959849e+37,6.642988092163497171e+00,6.370716970528214558e-20,1.853109545025383748e-19,2.779664317538075502e-19
-4.243337982829448806e-20,7.510180175781250000e+03,4.409660934154010103e+37,6.712000611335928291e+00,-5.275939780070031945e-20,1.872361086083472312e-19,2.808541629125208588e-19
-1.686634466537395547e-19,7.510509765625000000e+03,4.411295161227305300e+37,6.710757218091806031e+00,-2.097071200184786244e-19,1.872014232550554425e-19,2.808021348825830675e-19
-9.098755828124739223e-20,7.510839843750000000e+03,4.458448967637260651e+37,6.675175462353602818e+00,-1.131290696545884632e-19,1.862088444596032168e-19,2.793132666894048372e-19
-1.980454603847796198e-19,7.511169921875000000e+03,4.503659718905043497e+37,6.641586011356060304e+00,-2.462391463829664959e-19,1.852718424449656630e-19,2.779077636674484223e-19
5.561316428017124377e-20,7.511500000000000000e+03,4.532797187731964030e+37,6.620205063468139528e+00,6.914643775928471281e-20,1.846754054490971798e-19,2.770131081736458059e-19
-1.576273543366633258e-19,7.511830078125000000e+03,4.541753584203611532e+37,6.613674277422679992e+00,-1.959854323499976686e-19,1.844932244517891452e-19,2.767398366776836817e-19
-2.590531642735564409e-20,7.512160156250000000e+03,4.566185627695859446e+37,6.595956830323790321e+00,-3.220928665296955294e-20,1.839989834584752011e-19,2.759984751877128016e-19
-1.575398592955006668e-19,7.512490234375000000e+03,4.644908133248784108e+37,6.539823408858637777e+00,-1.958766456895673911e-19,1.824331010924550767e-19,2.736496516386825789e-19
1.327901482165479617e-19,7.512819824218750000e+03,4.691524730071759618e+37,6.507251332214481820e+00,1.651041769974512211e-19,1.815244794707816989e-19,2.722867192061725604e-19
-8.243733055260536454e-20,7.513149902343750000e+03,4.663497450672325521e+37,6.526776093408813928e+00,-1.024981732271205775e-19,1.820691367971471866e-19,2.731037051957208401e-19
7.647215819101782701e-20,7.513479980468750000e+03,4.582736772768881309e+37,6.584034981745422677e+00,9.508139655629583894e-20,1.836664148750544391e-19,2.754996223125816587e-19
-1.335717884822552921e-19,7.513810058593750000e+03,4.615990907880563407e+37,6.560276037146855366e+00,-1.660760267506966813e-19,1.830036419420836052e-19,2.745054629131254198e-19
6.915542532703438658e-20,7.514140136718750000e+03,4.558766198799553673e+37,6.601322134763286442e+00,8.598416175354373771e-20,1.841486525039537884e-19,2.762229787559307187e-19
3.543189501138690598e-20,7.514470214843750000e+03,4.494643950174913939e+37,6.648243825247819316e+00,4.405412557997376332e-20,1.854575669758642331e-19,2.781863504637963737e-19
2.497658381334880486e-19,7.514799804687500000e+03,4.540125634476570262e+37,6.614859901469207770e+00,3.105455013112883127e-19,1.845262982915575409e-19,2.767894474373362391e-19
8.835888464691430828e-20,7.515129882812500000e+03,4.529093193554535565e+37,6.622911586442219445e+00,1.098607172743824517e-19,1.847509058637827813e-19,2.771263587956742200e-19
1.410375734228623209e-19,7.515459960937500000e+03,4.471512279686944587e+37,6.665417725441433738e+00,1.753585849435587604e-19,1.859366453353699880e-19,2.789049680030549820e-19
2.136480775063984962e-20,7.515790039062500000e+03,4.421900836316277456e+37,6.702704704014604609e+00,2.656386070618589709e-20,1.869767925543693982e-19,2.804651888315540853e-19
1.744725676241786348e-19,7.516120117187500000e+03,4.400805101715959781e+37,6.718750567099407434e+00,2.169298707253978451e-19,1.874244035033592884e-19,2.811366052550389206e-19
2.045615160392092247e-20,7.516450195312500000e+03,4.350285937930550901e+37,6.757649839697696059e+00,2.543408619133971071e-20,1.885095268295845426e-19,2.827642902443768259e-19
6.619153044026794448e-21,7.516780273437500000e+03,4.290716339748035539e+37,6.804397617936807308e+00,8.229901317468594109e-21,1.898135898937020480e-19,2.847203848405530479e-19
-6.876501150277898787e-21,7.517109863281250000e+03,4.270642071573476909e+37,6.820370996328776414e+00,-8.549874205932817435e-21,1.902591788297921235e-19,2.853887682446881491e-19
6.131785556200855473e-22,7.517439941406250000e+03,4.158011262139246546e+37,6.912127736089598962e+00,7.623934616975149892e-22,1.928187994088471239e-19,2.892281991132706377e-19
-5.296741387317464985e-20,7.517770019531250000e+03,3.970794189787777513e+37,7.073199329532654289e+00,-6.585685303214448076e-20,1.973120079333947169e-19,2.959680119000920633e-19
6.194910433221920570e-20,7.518100097656250000e+03,3.620173765617764316e+37,7.407810729463029986e+00,7.702420717100833345e-20,2.066462347976090544e-19,3.099693521964136178e-19
-3.034172898397551378e-20,7.518430175781250000e+03,3.149602427731250736e+37,7.941942120677981443e+00,-3.772528504456260791e-20,2.215462160353558627e-19,3.323193240530337940e-19
-1.468417419263420569e-19,7.518759765625000000e+03,2.722828797163204696e+37,8.541702050140459690e+00,-1.825751780176082770e-19,2.382769527850088213e-19,3.574154291775132079e-19
-1.309354918207856600e-19,7.519089843750000000e+03,2.475622477419780419e+37,8.958027211393739364e+00,-1.627981963057508367e-19,2.498906440855064318e-19,3.748359661282596718e-19
1.521789408942286728e-19,7.519419921875000000e+03,2.428883018094353094e+37,9.043807021841416827e+00,1.892111661153665428e-19,2.522835339011389583e-19,3.784253008517083893e-19
2.776823369313067335e-19,7.519750000000000000e+03,2.639692563893094097e+37,8.675168350172691945e+00,3.452553846917017184e-19,2.420000916962574436e-19,3.630001375443861414e-19
2.232890453057801360e-19,7.520080078125000000e+03,3.024598014930080989e+37,8.104397885358304521e+00,2.776256714288635094e-19,2.260780370170709565e-19,3.391170555256064828e-19
-8.404001907826028827e-20,7.520410156250000000e+03,3.489211103638561574e+37,7.545551073032077838e+00,-1.044908705285800192e-19,2.104886012426728974e-19,3.157329018640093942e-19
-6.039458921975481887e-20,7.520740234375000000e+03,3.880243800256036895e+37,7.155254395252375943e+00,-7.509140611821495335e-20,1.996009933025281822e-19,2.994014899537922974e-19
8.974874406992963326e-20,7.521069824218750000e+03,4.072018087479999311e+37,6.984731832640187044e+00,1.115887942383819505e-19,1.948441431616765274e-19,2.922662147425148632e-19
2.685723176982634983e-19,7.521399902343750000e+03,4.112457815360639783e+37,6.950304916345621642e+00,3.339284734102282286e-19,1.938837794472435137e-19,2.908256691708652585e-19
1.609889168471407735e-19,7.521729980468750000e+03,4.031319028167147558e+37,7.019901231254676688e+00,2.001650196098355173e-19,1.958252189571035188e-19,2.937378284356553625e-19
8.989775995639947176e-20,7.522060058593750000e+03,3.954342623364035130e+37,7.087897654883302145e+00,1.117740726315879468e-19,1.977220283432657687e-19,2.965830425148986531e-19
2.869063498549209626e-20,7.522390136718750000e+03,3.825722368444910921e+37,7.206059783819869224e+00,3.567240296387927692e-20,2.010182463396698259e-19,3.015273695095047630e-19
1.872345834926074631e-19,7.522720214843750000e+03,3.618065592539218540e+37,7.409968605335476077e+00,2.327974795434048401e-19,2.067064303048225898e-19,3.100596454572338485e-19
1.201102666434662153e-19,7.523049804687500000e+03,3.362227570773740385e+37,7.686719501798708443e+00,1.493386895748841192e-19,2.144265966022051896e-19,3.216398949033077603e-19
4.223250337334945293e-20,7.523379882812500000e+03,2.980551182296121031e+37,8.164061995626454404e+00,5.250963874690529601e-20,2.277424104992962859e-19,3.416136157489445011e-19
1.795128721421808644e-19,7.523709960937500000e+03,2.455328323450026997e+37,8.994971654849377884e+00,2.231967161234782831e-19,2.509212360398116976e-19,3.763818540597175223e-19
3.269838957133581572e-19,7.524040039062500000e+03,1.905281496013049029e+37,1.021115835122262894e+01,4.065543093237301712e-19,2.848476430168286635e-19,4.272714645252429952e-19
3.071072437850408362e-19,7.524370117187500000e+03,1.405438400632263881e+37,1.188909173901680738e+01,3.818407420737112873e-19,3.316548077098710918e-19,4.974822115648067340e-19
-5.701183884647124570e-19,7.524700195312500000e+03,1.081763966789516225e+37,1.355152998525329977e+01,-7.088547500156298643e-19,3.780297242289940944e-19,5.670445863434911657e-19
-1.492159764951036527e-19,7.525030273437500000e+03,7.225800867227768402e+36,1.658103330081979720e+01,-1.855271744551379358e-19,4.625399089963725987e-19,6.938098634945588498e-19
1.091834294400390744e-18,7.525359863281250000e+03,4.518547210575128210e+36,2.096791144893771985e+01,1.357528438785981155e-18,5.849150458527901590e-19,8.773725687791853348e-19
-4.602433806249556165e-19,7.525689941406250000e+03,3.324567119808350211e+36,2.444483067186989445e+01,-5.722420344970933959e-19,6.819062207564238064e-19,1.022859331134635710e-18
