# spec1d,lambda1d,ivar1d,EW_spec_slitloss_cor,spec1d_slitloss_cor,err_slitloss_cor,OneSigUppLimFluxSpec_slitloss_cor
8.123866791982335284e-20,7.664290039062500000e+03,9.304212232212002344e+36,4.997632973431811365e+01,1.763365763503938948e-19,7.116063368115356455e-19,1.067409505217303179e-18
-1.653040416900270851e-20,7.664620117187500000e+03,2.057261395043171242e+37,3.360929666657963821e+01,-3.588087977669728204e-20,4.785583217267286469e-19,7.178374825900931147e-19
-9.672630143872375384e-20,7.664950195312500000e+03,2.534174357193125572e+37,3.028209491998275738e+01,-2.099540191325408835e-19,4.311827369385784277e-19,6.467741054078675212e-19
6.672672694380560114e-20,7.665280273437500000e+03,3.020281860542131307e+37,2.773833732469221403e+01,1.448369708862140017e-19,3.949625096080744229e-19,5.924437644121116825e-19
-1.305207082933092756e-19,7.665609863281250000e+03,3.478382689924741384e+37,2.584731775537957787e+01,-2.833081269375972256e-19,3.680365325363038775e-19,5.520547988044558644e-19
1.672775162666807528e-19,7.665939941406250000e+03,3.682299308316023789e+37,2.512144515190149363e+01,3.630924198310998982e-19,3.577009287194795557e-19,5.365513930792193336e-19
1.259320863518687255e-19,7.666270019531250000e+03,3.619329239482868129e+37,2.533903764777721079e+01,2.733480684575826694e-19,3.607991994354555295e-19,5.411987991531833424e-19
-1.551543449691090052e-19,7.666600097656250000e+03,3.427633017725241048e+37,2.603796288609443366e+01,-3.367778755892743561e-19,3.707511032905023025e-19,5.561266549357535019e-19
3.505814571621682475e-20,7.666930175781250000e+03,3.195965274788481335e+37,2.696516837876807315e+01,7.609717819218945727e-20,3.839534594383157054e-19,5.759301891574735581e-19
9.685024148464210172e-20,7.667259765625000000e+03,2.993422556147366047e+37,2.786250433349301758e+01,2.102230432799028405e-19,3.967305071932374699e-19,5.950957607898562770e-19
-3.813010514901782462e-20,7.667589843750000000e+03,2.991343573991414427e+37,2.787218486446833765e+01,-8.276517045422462682e-20,3.968683469910449779e-19,5.953025204865674428e-19
1.776795721956846414e-20,7.667919921875000000e+03,3.110577438070679325e+37,2.733277042704218118e+01,3.856711126690492416e-20,3.891876962933908232e-19,5.837815444400862107e-19
-1.024676413922060510e-19,7.668250000000000000e+03,3.270216433948336194e+37,2.665728493580332170e+01,-2.224161662477541821e-19,3.795695478910332979e-19,5.693543218365499468e-19
1.637270585913843749e-19,7.668580078125000000e+03,3.557597298870867889e+37,2.555793546017100581e+01,3.553857997329388453e-19,3.639160563803672333e-19,5.458740845705508500e-19
1.093775838900385048e-19,7.668910156250000000e+03,3.859534516609207486e+37,2.453786076532589178e+01,2.374148809490883913e-19,3.493913479687685942e-19,5.240870219531528913e-19
3.148676614022108605e-19,7.669240234375000000e+03,4.131097039023556450e+37,2.371763952705098077e+01,6.834514503600401196e-19,3.377123264430436514e-19,5.065684896645654531e-19
4.055333413495096628e-20,7.669569824218750000e+03,4.271163019302222486e+37,2.332550680391289433e+01,8.802502901707309701e-20,3.321288005590968257e-19,4.981932008386452144e-19
1.223109198500763698e-19,7.669899902343750000e+03,4.273271779924247902e+37,2.331975079510492321e+01,2.654879678469843663e-19,3.320468415123987842e-19,4.980702622685980800e-19
