# spec1d,lambda1d,ivar1d,EW_spec_slitloss_cor,spec1d_slitloss_cor,err_slitloss_cor,OneSigUppLimFluxSpec_slitloss_coor				
# big artifact here that appears between 7700-8200A that shouldn't be there, Spencer needs to look at it 
4.250332063722588101e-19,7.578819824218750000e+03,6.886985598137138610e+36,3.530761618691511927e+01,6.720036555829132985e-19,6.024682808797251396e-19,9.037024213195878056e-19
-2.561602357733437452e-19,7.579149902343750000e+03,6.948232686617516038e+36,3.515165744378187895e+01,-4.050050967168462856e-19,5.998070931244761843e-19,8.997106396867143246e-19
-5.723342292432965639e-20,7.579479980468750000e+03,7.040612623295396823e+36,3.492028337789087544e+01,-9.048956375654777349e-20,5.958590629040399736e-19,8.937885943560598641e-19
-3.111537879398191677e-20,7.579810058593750000e+03,7.049046640953114010e+36,3.489938647860709153e+01,-4.919532869648192870e-20,5.955024905735669544e-19,8.932537358603503835e-19
-3.165802616094312456e-19,7.580140136718750000e+03,6.993327945873752809e+36,3.503813947216943347e+01,-5.005328757786633834e-19,5.978700895940125883e-19,8.968051343910190269e-19
-1.537639406717141270e-19,7.580470214843750000e+03,6.912229244514735221e+36,3.524308503555359096e+01,-2.431102527498196483e-19,6.013671594780945455e-19,9.020507392171419145e-19
-1.744023307290137252e-20,7.580799804687500000e+03,6.849293795126927059e+36,3.540463216467409779e+01,-2.757408175055163622e-20,6.041237041467306167e-19,9.061855562200958287e-19
-3.361502153451000408e-21,7.581129882812500000e+03,6.757920950958094681e+36,3.564317891634705404e+01,-5.314741769588816721e-21,6.081941248352592706e-19,9.122911872528888578e-19
-1.387890370735908025e-19,7.581459960937500000e+03,6.744787278085324948e+36,3.567786482761537314e+01,-2.194340086139040395e-19,6.087859847110986264e-19,9.131789770666478433e-19
3.193626699007456423e-19,7.581790039062500000e+03,6.768383618878573269e+36,3.561561938407794514e+01,5.049320345150983849e-19,6.077238652759584738e-19,9.115857979139377107e-19
1.629770220516107837e-19,7.582120117187500000e+03,6.748781833310619134e+36,3.566730452948572605e+01,2.576767013793673064e-19,6.086057900294167481e-19,9.129086850441250740e-19
2.472523053601421485e-20,7.582450195312500000e+03,6.714871096230557846e+36,3.575725274921788355e+01,3.909211105444652144e-20,6.101406132534865638e-19,9.152109198802299901e-19
1.953974229109839514e-19,7.582780273437500000e+03,6.580343947999117563e+36,3.612091034263958989e+01,3.089353502715686964e-19,6.163458513521955893e-19,9.245187770282930951e-19
3.653159811393747780e-19,7.583109863281250000e+03,6.290498332034239208e+36,3.694370592430882994e+01,5.775870475247211856e-19,6.303855485376262730e-19,9.455783228064393132e-19
-1.536853931228095444e-19,7.583439941406250000e+03,6.143098310897708229e+36,3.738429986121305149e+01,-2.429860642412288264e-19,6.379035828996028754e-19,9.568553743494044094e-19
-2.028168656798714737e-19,7.583770019531250000e+03,5.943881950786031000e+36,3.800562655012119961e+01,-3.206659458775830923e-19,6.485055340522811308e-19,9.727583010784218888e-19
9.400380950731371694e-20,7.584100097656250000e+03,5.843924289090590796e+36,3.832928288056005073e+01,1.486258077734928088e-19,6.540282142571145421e-19,9.810423213856719095e-19
-3.415023795851417963e-20,7.584430175781250000e+03,5.766999584313160194e+36,3.858406888501626497e+01,-5.399362779916139857e-20,6.583757319508704732e-19,9.875635979263055654e-19
-2.367546451042348751e-19,7.584759765625000000e+03,6.120638831917459605e+36,3.745282727147675672e+01,-3.743236636596714522e-19,6.390728940996612139e-19,9.586093411494917726e-19
-2.452984164436438275e-19,7.585089843750000000e+03,6.279769586391961758e+36,3.697525090949083904e+01,-3.878318919262384148e-19,6.309238135083443862e-19,9.463857202625165792e-19
-8.369942471155673861e-20,7.585419921875000000e+03,6.088028517387700013e+36,3.755300069476527369e+01,-1.323339412852615739e-19,6.407821941497969103e-19,9.611732912246954136e-19
2.956125402366311018e-19,7.585750000000000000e+03,5.823276201777606754e+36,3.839717645422783221e+01,4.673816179462934509e-19,6.551867100443654074e-19,9.827800650665480630e-19
-1.314252516548971254e-19,7.586080078125000000e+03,5.294930573648088992e+36,4.026733143019770012e+01,-2.077914107036686716e-19,6.870979285017809828e-19,1.030646892752671378e-18
-1.117649745000221858e-20,7.586410156250000000e+03,4.408349546908999061e+36,4.413112235413542095e+01,-1.767073026392322660e-20,7.530273716933075933e-19,1.129541057539961294e-18
1.459148769032123379e-18,7.586740234375000000e+03,3.319822196441595547e+36,5.085405309823453734e+01,2.307003999047764869e-18,8.677434858152202763e-19,1.301615228722830318e-18
5.825581477316306801e-19,7.587069824218750000e+03,2.626542285601449168e+36,5.717297426944282535e+01,9.210602818698214950e-19,9.755658195258489295e-19,1.463348729288773202e-18
-1.556140693051173956e-19,7.587399902343750000e+03,1.902851670371193867e+36,6.717079932962920452e+01,-2.460354199751227340e-19,1.146162793409884515e-18,1.719244190114827157e-18
-2.613536707658457971e-19,7.587729980468750000e+03,1.640300519760417031e+36,7.234712428120243999e+01,-4.132162370411081935e-19,1.234488540986264122e-18,1.851732811479396375e-18
2.095151496901165833e-19,7.588060058593750000e+03,2.296145666417914295e+36,6.114814212190033516e+01,3.312563451064728115e-19,1.043395732754767916e-18,1.565093599132151681e-18
2.997571285359709986e-19,7.588390136718750000e+03,3.263152847055287124e+36,5.129372935262813371e+01,4.739344671032208060e-19,8.752458613855743707e-19,1.312868792078361267e-18
2.379157425038725198e-19,7.588720214843750000e+03,4.036313344537543293e+36,4.612013261958360744e+01,3.761594301017901843e-19,7.869666665166377481e-19,1.180449999774956574e-18
4.018310981420599713e-19,7.589049804687500000e+03,4.691030643594951351e+36,4.278079485291454631e+01,6.353196946260649403e-19,7.299861818271209334e-19,1.094979272740681352e-18
-1.064517830600387752e-19,7.589379882812500000e+03,5.347756163444686874e+36,4.006795578511595579e+01,-1.683068200017567712e-19,6.836959004094340907e-19,1.025543850614151232e-18
-2.312370834975255413e-19,7.589709960937500000e+03,5.644828751357008471e+36,3.899937065573950434e+01,-3.656000592117752789e-19,6.654621957475019684e-19,9.981932936212528563e-19
3.278521123889852779e-19,7.590040039062500000e+03,5.635888105887505393e+36,3.903029225720300843e+01,5.183543655245991646e-19,6.659898236671310795e-19,9.989847355006966674e-19
4.055280270345407333e-19,7.590370117187500000e+03,5.642276140503405075e+36,3.900819147180366286e+01,6.411647667120357794e-19,6.656127089359878879e-19,9.984190634039816874e-19
-1.241788735363204377e-19,7.590700195312500000e+03,5.742924853518934326e+36,3.866485782324047449e+01,-1.963344409600985427e-19,6.597542666122977074e-19,9.896313999184466092e-19
-2.021888618501161082e-19,7.591030273437500000e+03,5.740683368930411007e+36,3.867240555049935580e+01,-3.196730331757316156e-19,6.598830565663444025e-19,9.898245848495166038e-19
1.389670917080799370e-19,7.591359863281250000e+03,5.856661635267113123e+36,3.828758002049968212e+01,2.197155239484150691e-19,6.533166213170721836e-19,9.799749319756084199e-19
2.134559345086583200e-19,7.591689941406250000e+03,6.222016210652002145e+36,3.714645852109852342e+01,3.374869684183047812e-19,6.338451989367108284e-19,9.507677984050660982e-19
-5.939796126221967917e-20,7.592020019531250000e+03,6.608885137100840859e+36,3.604282991220521382e+01,-9.391183207324369387e-20,6.150135330658200919e-19,9.225202995987302342e-19
-1.796629998779986722e-19,7.592350097656250000e+03,6.859720982356115633e+36,3.537771334928432054e+01,-2.840582591687305439e-19,6.036643774013239619e-19,9.054965661019860392e-19
-1.622763649872365149e-19,7.592680175781250000e+03,6.990768841902743735e+36,3.504455207422942209e+01,-2.565689194425434762e-19,5.979795104430045160e-19,8.969692656645068222e-19
-2.605572841089210342e-19,7.593009765625000000e+03,7.074810115847666536e+36,3.483578409853912206e+01,-4.119571007273158708e-19,5.944172171759931276e-19,8.916258257639894506e-19
5.248233594405745680e-20,7.593339843750000000e+03,7.117896446360234108e+36,3.473018938977043035e+01,8.297780286147318274e-20,5.926154115166959518e-19,8.889231172750439758e-19
5.195018140843596513e-20,7.593669921875000000e+03,7.073107720953735591e+36,3.483997608142165348e+01,8.213643379215989607e-20,5.944887466926656013e-19,8.917331200389984501e-19
-2.764354254255237821e-19,7.594000000000000000e+03,6.959232846075259842e+36,3.512386510185349664e+01,-4.370614192808969740e-19,5.993328610388385901e-19,8.989992915582578851e-19
1.409387561967445120e-20,7.594330078125000000e+03,6.841014066748769341e+36,3.542605092590186899e+01,2.228328468401355943e-20,6.044891812207747781e-19,9.067337718311620709e-19
3.967921615466778535e-19,7.594660156250000000e+03,6.600489513752739867e+36,3.606574532322905213e+01,6.273528257753954822e-19,6.154045480868314107e-19,9.231068221302471161e-19
-1.853771364025449729e-19,7.594990234375000000e+03,6.100101494612225658e+36,3.751582089791443764e+01,-2.930926606588386144e-19,6.401477800853187044e-19,9.602216701279780566e-19
-6.953109636846968364e-20,7.595319824218750000e+03,5.382544957972102344e+36,3.993826104864294990e+01,-1.099329422637532823e-19,6.814828661306996933e-19,1.022224299196049588e-18
-4.604494206594625966e-19,7.595649902343750000e+03,4.504888314679615260e+36,4.365570138586738835e+01,-7.279988698652158403e-19,7.449150694656434723e-19,1.117372604198465353e-18
-5.836043069126349810e-20,7.595979980468750000e+03,3.871442000167171758e+36,4.709194256665458767e+01,-9.227143239150464635e-20,8.035490567027712042e-19,1.205323585054156710e-18
-3.261777707456202067e-19,7.596310058593750000e+03,3.214504800686363194e+36,5.168040935219762844e+01,-5.157071283483806502e-19,8.818439402068098196e-19,1.322765910310215018e-18
-7.302543320695322246e-19,7.596640136718750000e+03,2.743228646000270076e+36,5.594380232980374501e+01,-1.154577038449515650e-18,9.545919565083167762e-19,1.431887934762475357e-18
-2.766376767502349395e-19,7.596970214843750000e+03,2.302630323963730750e+36,6.106197884946390531e+01,-4.373811910716998829e-19,1.041925493632847573e-18,1.562888240449271360e-18
1.180483159025976331e-19,7.597299804687500000e+03,1.967708221814281012e+36,6.605453417218423340e+01,1.866416520700577185e-19,1.127115504948053278e-18,1.690673257422079820e-18
-2.818948278643121078e-19,7.597629882812500000e+03,1.659930862617796754e+36,7.191806343381111333e+01,-4.456930705052269822e-19,1.227167300442801844e-18,1.840750950664202862e-18
-1.153105433360767863e-18,7.597959960937500000e+03,1.464067733419821247e+36,7.657771435738736443e+01,-1.823130651613791716e-18,1.306676827978308002e-18,1.960015241967461810e-18
1.545015635008898398e-19,7.598290039062500000e+03,1.315007194193659978e+36,8.080140638457784519e+01,2.442764798356472725e-19,1.378747410741974913e-18,2.068121116112962370e-18
-6.344675262805051347e-19,7.598620117187500000e+03,1.169757481646929698e+36,8.567124308511957054e+01,-1.003132203830029200e-18,1.461843424066931642e-18,2.192765136100397560e-18
6.776168330440498855e-19,7.598950195312500000e+03,1.063137568331952979e+36,8.986451851202487262e+01,1.071353913207659539e-18,1.533394995952407464e-18,2.300092493928611003e-18
1.994982941126490192e-18,7.599280273437500000e+03,1.011762567385330628e+36,9.211782611800839504e+01,3.154190800067461323e-18,1.571844104283124820e-18,2.357766156424687134e-18
-2.250583508782969562e-19,7.599609863281250000e+03,1.076396452369581962e+36,8.930933496928643933e+01,-3.558311027049878463e-19,1.523921672327395574e-18,2.285882508491093842e-18
-2.407873268243191200e-19,7.599939941406250000e+03,1.071765837738557393e+36,8.950205961249207576e+01,-3.806995816281266146e-19,1.527210211657283441e-18,2.290815317485925354e-18
-4.719986578084719029e-20,7.600270019531250000e+03,1.078236578893859217e+36,8.923309444126907408e+01,-7.462589245314642089e-20,1.522620749047703881e-18,2.283931123571555726e-18
-1.324728345544361676e-19,7.600600097656250000e+03,1.205013079292502438e+36,8.440867906454784020e+01,-2.094477037355119780e-19,1.440299778329206979e-18,2.160449667493811046e-18
-4.895565245214505501e-19,7.600930175781250000e+03,1.250284644183176255e+36,8.286641214957009538e+01,-7.740189923060871066e-19,1.413983447824043612e-18,2.120975171736065611e-18
-1.232606796712428038e-18,7.601259765625000000e+03,1.181945453769813774e+36,8.522838657516707883e+01,-1.948827199542683268e-18,1.454286782496596663e-18,2.181430173744895476e-18
-3.226761195876277161e-19,7.601589843750000000e+03,1.014788403262236788e+36,9.198038785485941560e+01,-5.101708023779195407e-19,1.569498939044891105e-18,2.354248408567336368e-18
7.905912206503772424e-19,7.601919921875000000e+03,8.084216710647978430e+35,1.030538000656234630e+02,1.249973372394573651e-18,1.758449095939480824e-18,2.637673643909221428e-18
1.127925523598838937e-18,7.602250000000000000e+03,6.744486230201251091e+35,1.128258328778560866e+02,1.783319664722465946e-18,1.925193284443146421e-18,2.887789926664719631e-18
-5.541094513221532867e-19,7.602580078125000000e+03,6.765951724398555104e+35,1.126467164506214260e+02,-8.760811421293997209e-19,1.922136947662376521e-18,2.883205421493564781e-18
-1.050459181268850019e-18,7.602910156250000000e+03,7.219708808026912679e+35,1.090493656384007579e+02,-1.660840610262904686e-18,1.860753880958398279e-18,2.791130821437597419e-18
-1.370334875675803482e-18,7.603240234375000000e+03,7.472277545736902766e+35,1.071905469551719250e+02,-2.166583768093561715e-18,1.829036098295772164e-18,2.743554147443658246e-18
-7.883464084693846601e-21,7.603569824218750000e+03,7.407835296006289791e+35,1.076557734389615462e+02,-1.246424186191924638e-20,1.836974447869548470e-18,2.755461671804322512e-18
-1.049975414986434340e-18,7.603899902343750000e+03,5.687273449166407613e+35,1.228657763917723287e+02,-1.660075745999696003e-18,2.096508942711809621e-18,3.144763414067714239e-18
-2.100033752004066161e-18,7.604229980468750000e+03,1.541528470743337242e+35,2.359973950461977381e+02,-3.320282596833691116e-18,4.026919974797614305e-18,6.040379962196422998e-18
1.006176417896841878e-18,7.604890136718750000e+03,3.867293733185173277e+35,1.489976451605515706e+02,1.590826836235001118e-18,2.542407696395880861e-18,3.813611544593821677e-18
-5.659099400881153796e-19,7.605220214843750000e+03,7.029352095348428789e+35,1.105160452709986174e+02,-8.947384410639358250e-19,1.885780434781083259e-18,2.828670652171624888e-18
-1.022217468829393316e-18,7.605549804687500000e+03,7.086907572427273601e+35,1.100663589315728785e+02,-1.616188724916764691e-18,1.878107253039934403e-18,2.817160879559902183e-18
-1.278950680875558645e-18,7.605879882812500000e+03,6.255470344633824079e+35,1.171528881195666116e+02,-2.022099732381584719e-18,1.999027595968008271e-18,2.998541393952012598e-18
-1.197448504709064432e-18,7.606209960937500000e+03,5.813378629978336272e+35,1.215258533654990458e+02,-1.893239776263526776e-18,2.073645288652683041e-18,3.110467932979025332e-18
-1.560035358688569610e-18,7.606540039062500000e+03,6.162014406100472084e+35,1.180379421979492349e+02,-2.466511905799518770e-18,2.014129635320253837e-18,3.021194452980380371e-18
-3.079020088005194519e-19,7.606870117187500000e+03,6.679407118526938191e+35,1.133741454936015032e+02,-4.868120240328972692e-19,1.934549366633572697e-18,2.901824049950359430e-18
-6.525163607456419477e-19,7.607200195312500000e+03,7.106844245980266867e+35,1.099118671417615758e+02,-1.031668521834698067e-18,1.875471096508581452e-18,2.813206644762872177e-18
5.864846195802298678e-19,7.607530273437500000e+03,7.407488635095150707e+35,1.076582924851407341e+02,9.272682754953619617e-19,1.837017431383728546e-18,2.755526147075592820e-18
-5.149464034747495024e-20,7.607859863281250000e+03,7.523363538326284079e+35,1.068259983736964074e+02,-8.141619534103566933e-20,1.822815656903863763e-18,2.734223485355795837e-18
1.269986154421400633e-18,7.608189941406250000e+03,7.417645437019628707e+35,1.075845602926619904e+02,2.007926264385562517e-18,1.835759308858180697e-18,2.753638963287270853e-18
1.136485064237555510e-19,7.608520019531250000e+03,7.137967122189634308e+35,1.096719871919614917e+02,1.796852825221672296e-19,1.871377926915695501e-18,2.807066890373542866e-18
-1.341265248810168143e-18,7.608850097656250000e+03,7.041128342198136981e+35,1.104235878696351136e+02,-2.120622899090237703e-18,1.884202796365643447e-18,2.826304194548465555e-18
-1.515542678875423787e-18,7.609180175781250000e+03,7.139785790188473392e+35,1.096580183109247031e+02,-2.396166240960034896e-18,1.871139570191200124e-18,2.806709355286800185e-18
7.961321500507253028e-19,7.609509765625000000e+03,7.676004861448710697e+35,1.057585197958366194e+02,1.258733922762253653e-18,1.804600833782572147e-18,2.706901250673858221e-18
1.048178689841258895e-19,7.609839843750000000e+03,8.483425594539545396e+35,1.005998554652829284e+02,1.657235012975702376e-19,1.716576436598373801e-18,2.574864654897560798e-18
1.377221783097102196e-19,7.610169921875000000e+03,9.382530722842601843e+35,9.565837229770207273e+01,2.177472392543107577e-19,1.632257890333224739e-18,2.448386835499837108e-18
-3.267618816721255381e-19,7.610500000000000000e+03,9.918838647377117279e+35,9.303633023526887769e+01,-5.166306436690487965e-19,1.587516915315662233e-18,2.381275372973493446e-18
-3.604452240328805340e-19,7.610830078125000000e+03,9.956408681912402808e+35,9.286063024652001729e+01,-5.698860807956561714e-19,1.584518874620653773e-18,2.376778311930980371e-18
4.888088030698716932e-19,7.611160156250000000e+03,9.572301550728428123e+35,9.470541218275081974e+01,7.728367986767764710e-19,1.615997142534159221e-18,2.423995713801238928e-18
-1.617841793912825720e-19,7.611490234375000000e+03,8.905409687032758416e+35,9.818746158952323810e+01,-2.557907437265110032e-19,1.675412774247463676e-18,2.513119161371195321e-18
-6.350568754909407834e-19,7.611819824218750000e+03,8.358509071992474466e+35,1.013487916826970974e+02,-1.004064001199952353e-18,1.729355841274277873e-18,2.594033761911416713e-18
8.547356668012872600e-19,7.612149902343750000e+03,8.806854460525193921e+35,9.873532831689479394e+01,1.351389689172890788e-18,1.684761248062386909e-18,2.527141872093580268e-18
-2.117041678644697325e-19,7.612479980468750000e+03,1.075800886835833105e+36,8.933405246253977339e+01,-3.347173175510925171e-19,1.524343437013778501e-18,2.286515155520667367e-18
-5.535784463859818379e-19,7.612810058593750000e+03,1.301914841800616510e+36,8.120666876031309300e+01,-8.752415906475626274e-19,1.385662568240059855e-18,2.078493852360089782e-18
-3.280957627347205157e-20,7.613140136718750000e+03,1.427040583407730297e+36,7.756482594212954496e+01,-5.187395917153140764e-20,1.323520316259923243e-18,1.985280474389885347e-18
-1.204359025769088744e-18,7.613470214843750000e+03,1.386430717936681923e+36,7.869260066281960064e+01,-1.904165735329068035e-18,1.342763997101949350e-18,2.014145995652924410e-18
-5.276532848647737015e-19,7.613799804687500000e+03,1.189344457250936103e+36,8.496286679723914403e+01,-8.342523148624356471e-19,1.449756110040519640e-18,2.174634165060779267e-18
1.634804338438339290e-19,7.614129882812500000e+03,9.447756780359282468e+35,9.532759405039067246e+01,2.584726264025552462e-19,1.626613685950942803e-18,2.439920528926414301e-18
-4.584243116275813505e-19,7.614459960937500000e+03,7.877394540801245713e+35,1.043978814148965881e+02,-7.247970478617221453e-19,1.781383705162948289e-18,2.672075557744422818e-18
1.134366993231573084e-19,7.614790039062500000e+03,8.070055480343804625e+35,1.031441791801641301e+02,1.793504024616296216e-19,1.759991271697722342e-18,2.639986907546583128e-18
1.161601952967790653e-18,7.615120117187500000e+03,9.887679341857150086e+35,9.318280885007952463e+01,1.836564171983610945e-18,1.590016339767979486e-18,2.385024509651969325e-18
-2.782627765281962195e-19,7.615450195312500000e+03,1.360779588867990384e+36,7.943082825349866027e+01,-4.399505738283979637e-19,1.355360676104572537e-18,2.033041014156859191e-18
-2.101129795735773344e-19,7.615780273437500000e+03,2.014542652473663307e+36,6.528219537928269744e+01,-3.322015509423445281e-19,1.113936772564852616e-18,1.670905158847279020e-18
4.716465704433640976e-20,7.616109863281250000e+03,2.551141290314934945e+36,5.801171816291671490e+01,7.457022527399670554e-20,9.898776492717167914e-19,1.484816473907575283e-18
3.488687734384188577e-19,7.616439941406250000e+03,2.710604362716839976e+36,5.627945949346957377e+01,5.515829999974473093e-19,9.603194118337674302e-19,1.440479117750651338e-18
-3.801732814278471143e-20,7.616770019531250000e+03,2.538105377938842374e+36,5.816050377781489544e+01,-6.010773535908358929e-20,9.924164390091151582e-19,1.488624658513672834e-18
-5.507388984308854440e-19,7.617100097656250000e+03,2.296196782601137273e+36,6.114746150143793102e+01,-8.707520905863450391e-19,1.043384119049731795e-18,1.565076178574597789e-18
2.060725143596347837e-20,7.617430175781250000e+03,2.093913802599618371e+36,6.403296094580359465e+01,3.258133267911074565e-20,1.092620575017853367e-18,1.638930862526780146e-18
