# spec1d,lambda1d,ivar1d,EW_spec_slitloss_cor,spec1d_slitloss_cor,err_slitloss_cor,OneSigUppLimFluxSpec_slitloss_cor
6.126101519187998804e-20,5.446160156250000000e+03,6.427334678024540422e+36,1.156072248079923099e+02,1.123985170042022504e-19,7.237039355293171761e-19,2.677704561458473455e-18
-7.586851626567857031e-20,5.446819824218750000e+03,1.254701962219381610e+37,8.274278693281294750e+01,-1.391995984536307465e-19,5.179717845437000780e-19,1.916495602811690241e-18
-2.976111573345473924e-19,5.447479980468750000e+03,1.348868016334695663e+37,7.980235444767866682e+01,-5.460414363610039866e-19,4.995646083037699739e-19,1.848389050723948894e-18
-1.333310057770951786e-19,5.448140136718750000e+03,1.354405853760417577e+37,7.963904109205407167e+01,-2.446287785647177591e-19,4.985422628717580392e-19,1.844606372625504755e-18
-3.118317115069654397e-20,5.448799804687500000e+03,1.352710140132189395e+37,7.968894191995779863e+01,-5.721325678081623508e-20,4.988546432234194407e-19,1.845762179926651526e-18
4.339469133200630338e-21,5.449459960937500000e+03,1.333294437960720756e+37,8.026706804167055509e+01,7.961831739639731174e-21,5.024737262886059487e-19,1.859152787267841866e-18
3.577744291227579597e-19,5.450120117187500000e+03,1.294929884027935092e+37,8.144741526066179915e+01,6.564258709959028710e-19,5.098627275304728593e-19,1.886492091862749560e-18
-1.135731195979667218e-19,5.450780273437500000e+03,1.296581767404867684e+37,8.139551552145263713e+01,-2.083780390247987469e-19,5.095378339472128634e-19,1.885289985604687633e-18
-8.105410997412968459e-21,5.451439941406250000e+03,1.286257211486064137e+37,8.172153620319838296e+01,-1.487138554536271066e-20,5.115787310523480976e-19,1.892841304893687990e-18
1.279823505653067483e-19,5.452100097656250000e+03,1.295046829604508586e+37,8.144373773728571564e+01,2.348153448191486312e-19,5.098397061479884360e-19,1.886406912747557213e-18
2.833005088078942348e-19,5.452759765625000000e+03,1.301170936154006049e+37,8.125184965465614084e+01,5.197850044895095092e-19,5.086384822555297910e-19,1.881962384345460034e-18
9.643970378432215440e-20,5.453419921875000000e+03,1.308031326002999492e+37,8.103849383983235555e+01,1.769425408921257388e-19,5.073028698566292392e-19,1.877020618469528098e-18
-2.300671871883283627e-19,5.454080078125000000e+03,1.309215170401754795e+37,8.100184643973308596e+01,-4.221152811506768119e-19,5.070734562735005137e-19,1.876171788211951939e-18
1.313076305936998299e-19,5.454740234375000000e+03,1.312521744518070411e+37,8.089975003217134031e+01,2.409163952611696486e-19,5.064343303704390062e-19,1.873807022370624679e-18
2.992712302239952606e-20,5.455399902343750000e+03,1.293313579035588705e+37,8.149829339322819521e+01,5.490872515553553780e-20,5.101812258322168499e-19,1.887670535579202364e-18
2.486675262188922282e-19,5.456060058593750000e+03,1.332669547642367307e+37,8.028588449747127243e+01,4.562422135278580713e-19,5.025915177427153512e-19,1.859588615648047108e-18
-1.115107889370603181e-19,5.456720214843750000e+03,1.348169429929356758e+37,7.982302752432013904e+01,-2.045941822419470626e-19,4.996940222478359752e-19,1.848867882316993358e-18
1.120172358958492907e-19,5.457379882812500000e+03,1.320189968413046445e+37,8.066445781602354259e+01,2.055233847197524613e-19,5.049613955853649873e-19,1.868357163665850434e-18
