# spec1d,lambda1d,ivar1d,EW_spec_slitloss_cor,spec1d_slitloss_cor,err_slitloss_cor,OneSigUppLimFluxSpec_slitloss_cor
2.334380887476760214e-19,7.598620117187500000e+03,1.345293824871546082e+36,4.681507757649767676e+00,3.019786245095024261e-19,1.115310804526389228e-18,1.672966206789583842e-18
4.996198673041200548e-19,7.598950195312500000e+03,3.741832860148713477e+36,2.807062803977582011e+00,6.463149227939363752e-19,6.687476847912031038e-19,1.003121527186804559e-18
3.431797126465194891e-19,7.599280273437500000e+03,4.291188717609532672e+36,2.621232322264829495e+00,4.439418525936417351e-19,6.244758914302058652e-19,9.367138371453086051e-19
-1.202291084861756379e-19,7.599609863281250000e+03,3.654489727214644017e+36,2.840409451053077294e+00,-1.555299779973053393e-19,6.766921073369640848e-19,1.015038161005446224e-18
1.581522127694863738e-19,7.599939941406250000e+03,2.636928060384310588e+36,3.343837630544824968e+00,2.045878114041880704e-19,7.966275890143614080e-19,1.194941383521542160e-18
2.809761162029207807e-19,7.600270019531250000e+03,1.885162702337776639e+36,3.954757901018803867e+00,3.634744507469535309e-19,9.421717200158389968e-19,1.413257580023758880e-18
1.506353576077478964e-19,7.600600097656250000e+03,1.623474768944635947e+36,4.261588874639645752e+00,1.948639073294228189e-19,1.015270370655366592e-18,1.522905555983049695e-18
-1.257558559820206439e-19,7.600930175781250000e+03,1.616496830949251503e+36,4.270776978158528969e+00,-1.626794522573117938e-19,1.017459321663932421e-18,1.526188982495898728e-18
3.128615486091641912e-19,7.601259765625000000e+03,1.969288449431593692e+36,3.869364607661941680e+00,4.047218713010852010e-19,9.218278334636118384e-19,1.382741750195417565e-18
6.650547266631972408e-19,7.601589843750000000e+03,2.415494386036996396e+36,3.493745819034776989e+00,8.603236629407795381e-19,8.323413442754992135e-19,1.248512016413248820e-18
6.111297223472613399e-19,7.601919921875000000e+03,2.630803023847879496e+36,3.347727929493165000e+00,7.905655582657667639e-19,7.975544041932599897e-19,1.196331606289889985e-18
3.386861705944258395e-19,7.602250000000000000e+03,2.548623730155659602e+36,3.401272756605181691e+00,4.381289466735047055e-19,8.103107910874067365e-19,1.215466186631110008e-18
8.431904833428200598e-20,7.602580078125000000e+03,2.630712429779015062e+36,3.347785571993375342e+00,1.090762453228414074e-19,7.975681367996364519e-19,1.196352205199454678e-18
-1.585230015936457642e-19,7.602910156250000000e+03,2.735394709239462675e+36,3.283101582502867100e+00,-2.050674687716032890e-19,7.821579834701346925e-19,1.173236975205202039e-18
-3.917138816751533650e-19,7.603240234375000000e+03,2.726187799709811664e+36,3.288640771940752661e+00,-5.067263008540135504e-19,7.834776262322973713e-19,1.175216439348446394e-18
-1.035672929701500804e-18,7.603569824218750000e+03,2.545789178369035684e+36,3.403165765201861426e+00,-1.339760312598512866e-18,8.107617767634400540e-19,1.216142665145159985e-18
-7.142657576257086260e-19,7.603899902343750000e+03,2.252059585500041044e+36,3.618298425876087077e+00,-9.239837088247942360e-19,8.620144486113935816e-19,1.293021672917090421e-18
-5.313655681258478063e-19,7.604229980468750000e+03,2.133398926042399481e+36,3.717562560105406977e+00,-6.873815847070127856e-19,8.856628899125990644e-19,1.328494334868898500e-18
-1.367923249324807355e-18,7.604560058593750000e+03,2.259290178836009895e+36,3.612503815968709731e+00,-1.769563756633467973e-18,8.606339551096680926e-19,1.290950932664502091e-18
-1.150440409230831325e-18,7.604890136718750000e+03,2.410025768701670857e+36,3.497707422493634866e+00,-1.488225054546220077e-18,8.332851468642472562e-19,1.249927720296370836e-18
-1.285279646954224268e-18,7.605220214843750000e+03,2.441853654141037253e+36,3.474837547678705896e+00,-1.662654890551401179e-18,8.278366845739569171e-19,1.241755026860935327e-18
-6.503947652876514153e-19,7.605549804687500000e+03,2.300298612671693434e+36,3.580158161419790375e+00,-8.413593414142487919e-19,8.529280065423632288e-19,1.279392009813544795e-18
-1.942429775389238471e-19,7.605879882812500000e+03,2.043511408019093094e+36,3.798444528621918614e+00,-2.512753059816094829e-19,9.049320096166996466e-19,1.357398014425049277e-18
-3.479774517966864087e-19,7.606209960937500000e+03,1.891991499776100114e+36,3.947614461625630788e+00,-4.501482719363259425e-19,9.404698847206468259e-19,1.410704827080970431e-18
8.819187475929103528e-19,7.606540039062500000e+03,1.961759543878195960e+36,3.876782484961337261e+00,1.140861852305160623e-18,9.235950501653564835e-19,1.385392575248035014e-18
1.576546742353578514e-18,7.606870117187500000e+03,2.085861825127625916e+36,3.759685814888128252e+00,2.039441889217447384e-18,8.956982297246966922e-19,1.343547344587045135e-18
5.166674958855601604e-19,7.607200195312500000e+03,2.182957248922013575e+36,3.675121542056850821e+00,6.683679624576421604e-19,8.755518469676617018e-19,1.313327770451492553e-18
4.706495118223956211e-19,7.607530273437500000e+03,2.235854414755303744e+36,3.631387221327003534e+00,6.088384846220205958e-19,8.651326907975331973e-19,1.297699036196299796e-18
1.039815105141516189e-18,7.607859863281250000e+03,2.245308893502679698e+36,3.623733688297190447e+00,1.345118685983778812e-18,8.633093320586735446e-19,1.294963998088010221e-18
7.095175662736620832e-19,7.608189941406250000e+03,2.209152876844702800e+36,3.653267188885143124e+00,9.178413851744801508e-19,8.703453200365650735e-19,1.305517980054847610e-18
8.690817833645473841e-20,7.608520019531250000e+03,2.167648410987053405e+36,3.688076330499436839e+00,1.124255784197959651e-19,8.786381636562882042e-19,1.317957245484432595e-18
-9.678516782101687342e-19,7.608850097656250000e+03,2.186142678425835690e+36,3.672443055349139840e+00,-1.252025837270439823e-18,8.749137309333543048e-19,1.312370596400031553e-18
-4.848727923801374714e-19,7.609180175781250000e+03,2.240175372137664196e+36,3.627883334232992141e+00,-6.272379100194854144e-19,8.642979334210437368e-19,1.296446900131565316e-18
-3.170600689104934773e-20,7.609509765625000000e+03,2.362016329456154787e+36,3.533075139592127378e+00,-4.101531331503075479e-20,8.417110641228322018e-19,1.262566596184248543e-18
3.995107476091078813e-20,7.609839843750000000e+03,2.580803012832330439e+36,3.380001501619736004e+00,5.168124305976714551e-20,8.052431800229290164e-19,1.207864770034393621e-18
1.942824039307659040e-19,7.610169921875000000e+03,2.813738492336476786e+36,3.237072720005653714e+00,2.513263084878487405e-19,7.711921813566347162e-19,1.156788272034952219e-18
-1.091277692859076758e-19,7.610500000000000000e+03,2.947577532010640354e+36,3.162726977279456175e+00,-1.411691375710717251e-19,7.534802358840305067e-19,1.130220353826045616e-18
2.146524723110695267e-19,7.610830078125000000e+03,4.651340965666544982e+36,2.517707267197867083e+00,2.776773005802213722e-19,5.998123389098235163e-19,8.997185083647350819e-19
