# spec1d,lambda1d,ivar1d,EW_spec_slitloss_cor,spec1d_slitloss_cor,err_slitloss_cor,OneSigUppLimFluxSpec_slitloss_cor
-5.610418426129771608e-20,7.511169921875000000e+03,2.462189498879308499e+36,2.485851576668506979e+01,-1.181806551848193597e-19,1.342426150842933450e-18,2.013639226264400175e-18
-1.477867716477456414e-19,7.511500000000000000e+03,8.124525845043918136e+36,1.368475163029562403e+01,-3.113054352530368656e-19,7.390130862486761892e-19,1.108519629373014187e-18
-1.326807301341733935e-19,7.511830078125000000e+03,1.009528202714356087e+37,1.227656037132801892e+01,-2.794853151171032836e-19,6.629670025174818173e-19,9.944505037762229186e-19
3.551764738426761979e-20,7.512160156250000000e+03,1.024501232754217162e+37,1.218651954245243019e+01,7.481614595707950575e-20,6.581045576128606821e-19,9.871568364192909269e-19
1.772122274751004336e-19,7.512490234375000000e+03,1.028489497478758134e+37,1.216286821893053194e+01,3.732886847125186843e-19,6.568273230629045248e-19,9.852409845943567390e-19
-4.023277093605072581e-20,7.512819824218750000e+03,1.017919945683904799e+37,1.222585159631162277e+01,-8.474831764737352547e-20,6.602285934226618341e-19,9.903428901339924622e-19
1.035758286656190325e-19,7.513149902343750000e+03,1.014296816547285469e+37,1.224766786944766750e+01,2.181772973652771075e-19,6.614067303575710553e-19,9.921100955363565829e-19
1.105103838405188491e-19,7.513479980468750000e+03,1.015454336439105618e+37,1.224068529964494623e+01,2.327845906496440769e-19,6.610296529652102527e-19,9.915444794478156198e-19
-6.476835371917335152e-20,7.513810058593750000e+03,1.008477469107605135e+37,1.228295418612753842e+01,-1.364312943598797071e-19,6.633122855694178923e-19,9.949684283541269348e-19
-2.888111561595344005e-19,7.514140136718750000e+03,1.007571163649949040e+37,1.228847717379439786e+01,-6.083662405758231064e-19,6.636105416336320245e-19,9.954158124504481330e-19
-1.086717737993046647e-19,7.514470214843750000e+03,1.006638186487758153e+37,1.229417048717378691e+01,-2.289116506512993897e-19,6.639179957405936540e-19,9.958769936108904329e-19
3.697412921139191136e-19,7.514799804687500000e+03,9.979423536596521801e+36,1.234761854821294769e+01,7.788415200441224535e-19,6.668043335865149834e-19,1.000206500379772571e-18
