# spec1d,lambda1d,ivar1d,EW_spec_slitloss_cor,spec1d_slitloss_cor,err_slitloss_cor,OneSigUppLimFluxSpec_slitloss_cor
-5.723148618721003846e-20,7.430319824218750000e+03,1.939776460504729267e+36,9.221014197302916671e+01,-8.990239758971403632e-20,1.127873538956245492e-18,1.691810308434368239e-18
-1.064566624035912333e-20,7.430649902343750000e+03,1.428465786646136760e+37,3.397970558147942199e+01,-1.672280387438280955e-20,4.156246803966990051e-19,6.234370205950485077e-19
-1.115890334399813754e-19,7.430979980468750000e+03,1.734901189770613066e+37,3.083309781385345971e+01,-1.752902522600410283e-19,3.771367704700712406e-19,5.657051557051067886e-19
3.470244156010049637e-20,7.431310058593750000e+03,1.177911586669640472e+37,3.741951775277244963e+01,5.451252284913028449e-20,4.576989364814126472e-19,6.865484047221190189e-19
-3.152970305722746654e-19,7.431640136718750000e+03,9.710596557316270488e+36,4.121274838240195493e+01,-4.952860896996861991e-19,5.040960503213286240e-19,7.561440754819931286e-19
-5.350535112466417457e-19,7.431970214843750000e+03,9.548617456104371986e+36,4.156083704455137706e+01,-8.404917765462113484e-19,5.083537163746339265e-19,7.625305745619508416e-19
-1.130463641216198989e-19,7.432299804687500000e+03,1.019477096470249142e+37,4.022219770745758893e+01,-1.775795082463661783e-19,4.919800740159048055e-19,7.379701110238572564e-19
-2.859965141769667501e-19,7.432629882812500000e+03,1.438624277229724523e+37,3.385952339043970483e+01,-4.492592109648195622e-19,4.141546651659759825e-19,6.212319977489640219e-19
-1.051499554105284240e-19,7.432959960937500000e+03,2.219530264757392844e+37,2.725988362401882270e+01,-1.651753908143419248e-19,3.334308000908448340e-19,5.001462001362674195e-19
1.067672362741886169e-19,7.433290039062500000e+03,2.782992058435925015e+37,2.434437053320882782e+01,1.677159054314777682e-19,2.977695377042524683e-19,4.466543065563787024e-19
4.279335411448079312e-20,7.433620117187500000e+03,3.058314955008554903e+37,2.322273834287990368e+01,6.722217772246575479e-20,2.840502304692245678e-19,4.260753457038368998e-19
-6.144712255605526737e-20,7.433950195312500000e+03,3.126497068163978674e+37,2.296812379112693137e+01,-9.652455336749426944e-20,2.809358982557531420e-19,4.214038473836296649e-19
1.513407070833734741e-19,7.434280273437500000e+03,3.146735580756522420e+37,2.289414387130397088e+01,2.377343893396657812e-19,2.800310087045926236e-19,4.200465130568889113e-19
6.413147054115293954e-20,7.434609863281250000e+03,3.215121342381761158e+37,2.264935552525059492e+01,1.007412762922840586e-19,2.770368662789229490e-19,4.155552994183844957e-19
-1.215004127301603135e-19,7.434939941406250000e+03,3.238460531516132381e+37,2.256759237647375826e+01,-1.908595974050087265e-19,2.760367757249565190e-19,4.140551635874347304e-19
-2.953958388552948264e-19,7.435270019531250000e+03,3.226878650488241357e+37,2.260805579126657250e+01,-4.640241922819517731e-19,2.765317062593219806e-19,4.147975593889828987e-19
-2.042182316293111149e-19,7.435600097656250000e+03,3.188348715746155551e+37,2.274425027448354442e+01,-3.207973421299974849e-19,2.781975767426053242e-19,4.172963651139080586e-19
-3.829100602505623573e-19,7.435930175781250000e+03,3.178316663267519622e+37,2.278011701932130606e+01,-6.014963924777569239e-19,2.786362828498233118e-19,4.179544242747350399e-19
-1.959302754957851883e-19,7.436259765625000000e+03,3.172702455778358158e+37,2.280026321611834916e+01,-3.077781602571899764e-19,2.788827021892994154e-19,4.183240532839491472e-19
-1.452826710737927284e-20,7.436589843750000000e+03,3.101048800183502471e+37,2.306217337763769493e+01,-2.282180898648524468e-20,2.820862710640532908e-19,4.231294065960798640e-19
