# spec1d,lambda1d,ivar1d,EW_spec_slitloss_cor,spec1d_slitloss_cor,err_slitloss_cor,OneSigUppLimFluxSpec_slitloss_cor
-4.897342397210478717e-21,7.517109863281250000e+03,6.898503503312026681e+36,3.510761034202278807e+01,-8.360654891106625593e-21,6.499835773469499738e-19,9.749753660204249125e-19
1.795429621200933247e-20,7.517439941406250000e+03,2.301001645613003648e+37,1.922295943377742233e+01,3.065125169251292666e-20,3.558945715256006941e-19,5.338418572884010411e-19
3.963361581213947582e-22,7.517770019531250000e+03,2.820169807382876527e+37,1.736365246106307580e+01,6.766179634096012029e-22,3.214712944714960132e-19,4.822069417072440439e-19
1.836723795066597118e-19,7.518100097656250000e+03,2.760270961944559824e+37,1.755103998957539702e+01,3.135621840446024977e-19,3.249405940035935716e-19,4.874108910053903334e-19
-5.021142274663092488e-20,7.518430175781250000e+03,2.640430824804360232e+37,1.794491134217278727e+01,-8.572003816093401901e-20,3.322327425799749988e-19,4.983491138699625223e-19
-1.197976966357626363e-19,7.518759765625000000e+03,2.479527954382267495e+37,1.851800553719857589e+01,-2.045164738515321545e-19,3.428430293927392827e-19,5.142645440891089963e-19
-1.120977192710624131e-19,7.519089843750000000e+03,2.289574138702367761e+37,1.927087163724906915e+01,-1.913712109325538565e-19,3.567816198068048390e-19,5.351724297102072584e-19
5.997096575759242647e-20,7.519419921875000000e+03,2.198518096095757775e+37,1.966589389965663415e+01,1.023813545222400780e-19,3.640950763693559880e-19,5.461426145540340060e-19
-2.679513869560787630e-19,7.519750000000000000e+03,2.164700394736128671e+37,1.981891230122969105e+01,-4.574417903083900470e-19,3.669280646327387785e-19,5.503920969491082399e-19
-2.796710268909353296e-20,7.520080078125000000e+03,2.182318682443888005e+37,1.973874919279186457e+01,-4.774493488975503164e-20,3.654439219216268651e-19,5.481658828824402976e-19
