# spec1d,lambda1d,ivar1d,EW_spec_slitloss_cor,spec1d_slitloss_cor,err_slitloss_cor,OneSigUppLimFluxSpec_slitloss_cor
-3.182510226751814091e-20,7.564629882812500000e+03,2.495962870267749804e+36,7.973304526408866444e+00,-6.096211101753724907e-20,1.212470356288286272e-18,1.818705534432429794e-18
6.118089668874298955e-20,7.564959960937500000e+03,1.425052858481641299e+37,3.336890265334218508e+00,1.171941753632104382e-19,5.074283210310214151e-19,7.611424815465321709e-19
-2.467730285020000808e-19,7.565290039062500000e+03,1.908560455543809005e+37,2.883397059250274452e+00,-4.727024797349062036e-19,4.384673190607925298e-19,6.577009785911888910e-19
-2.255151763049070649e-19,7.565620117187500000e+03,1.906801354142308197e+37,2.884726777868228176e+00,-4.319823106451041392e-19,4.386695243573710975e-19,6.580042865360566462e-19
-4.300031866229502888e-20,7.565950195312500000e+03,1.880151635659500269e+37,2.905099244112439472e+00,-8.236863398097528014e-20,4.417674884855159300e-19,6.626512327282738950e-19
6.438099987576426818e-20,7.566280273437500000e+03,1.877094015618369985e+37,2.907464356158148355e+00,1.233240864037124881e-19,4.421271421567415876e-19,6.631907132351122370e-19
5.926454857224593071e-20,7.566609863281250000e+03,1.894006732262336244e+37,2.894454004379314327e+00,1.135233426461895112e-19,4.401487070167727707e-19,6.602230605251592043e-19
-2.258723918666634149e-19,7.566939941406250000e+03,1.888849322810848085e+37,2.898402892251071172e+00,-4.326665697104774849e-19,4.407491995062988463e-19,6.611237992594481250e-19
-1.772290066787296122e-19,7.567270019531250000e+03,1.898046743755040345e+37,2.891371926286873784e+00,-3.394884418550252798e-19,4.396800270221140684e-19,6.595200405331711026e-19
-4.211993338375492439e-20,7.567600097656250000e+03,1.894512659514417434e+37,2.894067498400628935e+00,-8.068222478620122736e-20,4.400899325099003700e-19,6.601348987648504587e-19
8.833997111252452252e-20,7.567930175781250000e+03,1.863694482997967564e+37,2.917897634922644201e+00,1.692183447197993834e-19,4.437136915201760135e-19,6.655705372802640684e-19
8.688373298470857656e-20,7.568259765625000000e+03,1.799650322270105643e+37,2.969363375163333263e+00,1.664288689886720683e-19,4.515398925889534512e-19,6.773098388834301286e-19
1.472474095298479980e-19,7.568589843750000000e+03,1.711662087065063776e+37,3.044727264251216425e+00,2.820576302111406621e-19,4.630001950458585863e-19,6.945002925687878795e-19
-1.530791732296346159e-19,7.568919921875000000e+03,1.618205615033426278e+37,3.131414511888872543e+00,-2.932285802085987461e-19,4.761823979431332617e-19,7.142735969146997962e-19
