# spec1d,lambda1d,ivar1d,EW_spec_slitloss_cor,spec1d_slitloss_cor,err_slitloss_cor,OneSigUppLimFluxSpec_slitloss_cor
-2.665671349693273234e-20,7.548459960937500000e+03,1.807886350176908158e+37,3.576643201390479732e+01,-4.187384628449344794e-20,3.694457605278393541e-19,5.541686407917590794e-19
-3.021471327206077988e-20,7.548790039062500000e+03,3.858828814442278033e+37,2.448124073151763724e+01,-4.746294997055426988e-20,2.528765127369834994e-19,3.793147691054752732e-19
-8.168136013343882357e-20,7.549120117187500000e+03,4.358288433278569238e+37,2.303579455158518741e+01,-1.283096177227372227e-19,2.379459218678804587e-19,3.569188828018206640e-19
1.019261036637397359e-20,7.549450195312500000e+03,4.381007444751325265e+37,2.297598744676603744e+01,1.601111854124059952e-20,2.373281503966783785e-19,3.559922255950175436e-19
1.524908714641887380e-19,7.549780273437500000e+03,4.368039447302472506e+37,2.301006815216099000e+01,2.395411314382256444e-19,2.376801836137202175e-19,3.565202754205802781e-19
7.747947844817197936e-20,7.550109863281250000e+03,4.358516597595352512e+37,2.303519159241369962e+01,1.217090685659652152e-19,2.379396936617906830e-19,3.569095404926860245e-19
2.717124457656357053e-20,7.550439941406250000e+03,4.304094657897999414e+37,2.318036520048407212e+01,4.268210028548030242e-20,2.394392498384112563e-19,3.591588747576167882e-19
-1.336266046938967313e-19,7.550770019531250000e+03,4.400223547215723664e+37,2.292576363367859571e+01,-2.099080933257149927e-19,2.368093685731102524e-19,3.552140528596653786e-19
7.901449840518784591e-20,7.551100097656250000e+03,4.460921740937666370e+37,2.276925802842286117e+01,1.241203631815264414e-19,2.351927596718338796e-19,3.527891395077507953e-19
-8.121850644591807376e-20,7.551430175781250000e+03,4.441272917172544873e+37,2.281956966315721047e+01,-1.275825414398456678e-19,2.357124486402667600e-19,3.535686729604001400e-19
1.724728281754120801e-19,7.551759765625000000e+03,4.341772895700898020e+37,2.307956554468107413e+01,2.709298989952407599e-19,2.383980499366539948e-19,3.575970749049810404e-19
1.904853107350364044e-19,7.552089843750000000e+03,4.359358694847864053e+37,2.303296663115551368e+01,2.992249071548406358e-19,2.379167111483586268e-19,3.568750667225379401e-19
-2.703296228825403185e-19,7.552419921875000000e+03,4.333999270403280920e+37,2.310025446332905119e+01,-4.246487878571785226e-19,2.386117540400274994e-19,3.579176310600412732e-19
5.635006099787841339e-20,7.552750000000000000e+03,4.400674329715307079e+37,2.292458940480717544e+01,8.851780594102487067e-20,2.367972394941384424e-19,3.551958592412076877e-19
-6.338335491002734008e-20,7.553080078125000000e+03,4.438847168948875916e+37,2.282580404879569969e+01,-9.956609470268619784e-20,2.357768460993910161e-19,3.536652691490865241e-19
9.814464686058764271e-20,7.553410156250000000e+03,4.411477092163331729e+37,2.289650349570354493e+01,1.541710630141642522e-19,2.365071289221677343e-19,3.547606933832516014e-19
-3.385377667551453197e-19,7.553740234375000000e+03,4.338369093559080257e+37,2.308861766428499962e+01,-5.317939290690056524e-19,2.384915528952427297e-19,3.577373293428640463e-19
-1.865711269436903374e-19,7.554069824218750000e+03,4.213040079291881050e+37,2.342951968909098071e+01,-2.930762898308430467e-19,2.420128660575665862e-19,3.630192990863499275e-19
-5.239571110092326839e-20,7.554399902343750000e+03,4.095107245147928867e+37,2.376449232296549141e+01,-8.230609346719514495e-20,2.454729321729026984e-19,3.682093982593539995e-19
-1.498551695502779858e-20,7.554729980468750000e+03,4.059080128502802792e+37,2.386972241562558139e+01,-2.354008244642416491e-20,2.465598958263670516e-19,3.698398437395506737e-19
2.875395148384411620e-19,7.555060058593750000e+03,3.966662183115446231e+37,2.414618773830281029e+01,4.516830421142553883e-19,2.494156165579277223e-19,3.741234248368916556e-19
