# spec1d,lambda1d,ivar1d,EW_spec_slitloss_cor,spec1d_slitloss_cor,err_slitloss_cor,OneSigUppLimFluxSpec_slitloss_cor
-9.728526985421143458e-20,6.400000000000000000e+03,1.447196151665800938e+37,7.776556169376237904e+01,-2.096014994246164068e-19,5.663482954379844289e-19,1.529140397682557823e-18
-6.467139663574463481e-20,6.400470214843750000e+03,1.456190827112209106e+37,7.752501647671128637e+01,-1.393347803326195934e-19,5.645964611981813066e-19,1.524410445235089480e-18
-1.062546482725712619e-19,6.400939941406250000e+03,1.458625211429627323e+37,7.746029646075682251e+01,-2.289260607709775938e-19,5.641251205440641044e-19,1.523137825468973178e-18
1.915433776633198780e-19,6.401410156250000000e+03,1.428984283621624711e+37,7.825953922676755781e+01,4.126809662269693012e-19,5.699458176278687127e-19,1.538853707595245996e-18
1.550638905188793853e-19,6.401879882812500000e+03,1.409088936922631896e+37,7.881008757968075429e+01,3.340857666127417327e-19,5.739553317937464759e-19,1.549679395843115841e-18
-1.160427523953463602e-19,6.402350097656250000e+03,1.383362109625149382e+37,7.953953993198982175e+01,-2.500145698919616357e-19,5.792677617091933993e-19,1.564022956614822332e-18
-2.332355310822987124e-19,6.402819824218750000e+03,1.353418995658058022e+37,8.041459497812999757e+01,-5.025068759865321320e-19,5.856405817982128819e-19,1.581229570855175041e-18
-2.098742195827474622e-19,6.403290039062500000e+03,1.349751585708359599e+37,8.052376811536501577e+01,-4.521748377841473377e-19,5.864356640792893403e-19,1.583376293014081286e-18
5.697744777381014522e-20,6.403759765625000000e+03,1.363871558402089642e+37,8.010585796977797202e+01,1.227581370198706398e-19,5.833921227810021671e-19,1.575158731508706159e-18
-1.392580418667760669e-19,6.404229980468750000e+03,1.374812820233749932e+37,7.978646542324941038e+01,-3.000320030560999360e-19,5.810660619854231409e-19,1.568878367360642634e-18
7.521363734149111582e-20,6.404700195312500000e+03,1.392203803549694155e+37,7.928656532852637895e+01,1.620480797101206901e-19,5.774254071715276990e-19,1.559048599363124999e-18
-3.175963696560365630e-19,6.405169921875000000e+03,1.403834997846379267e+37,7.895742566007815810e+01,-6.842626370002126016e-19,5.750283603795205897e-19,1.552576573024705544e-18
-6.397847390861480036e-20,6.405640136718750000e+03,1.428690280046302352e+37,7.826759114714221255e+01,-1.378418755710924159e-19,5.700044578701542660e-19,1.539012036249416778e-18
-3.649743392963203607e-19,6.406109863281250000e+03,1.442408474640320497e+37,7.789451544054151100e+01,-7.863386603404259478e-19,5.672874352459922480e-19,1.531676075164178973e-18
-2.444009312991202398e-19,6.406580078125000000e+03,1.439322489099541724e+37,7.797797576317725543e+01,-5.265627750001114593e-19,5.678952571459689115e-19,1.533317194294116109e-18
3.169423948494456464e-20,6.407049804687500000e+03,1.455070244611140425e+37,7.755486261570986528e+01,6.828536456878300811e-20,5.648138236087276815e-19,1.524997323743564798e-18
1.511118336988276771e-19,6.407520019531250000e+03,1.457795382562714104e+37,7.748233989907883768e+01,3.255710445326625064e-19,5.642856577207699860e-19,1.523571275846079136e-18
1.288630993456466254e-19,6.407990234375000000e+03,1.466711225474488937e+37,7.724648112825086343e+01,2.776360582010719591e-19,5.625679537665626697e-19,1.518933475169719661e-18
-2.093277368515077962e-19,6.408459960937500000e+03,1.457990497905577364e+37,7.747715519480210844e+01,-4.509974385740804863e-19,5.642478987389595116e-19,1.523469326595190893e-18
1.569646067468642779e-19,6.408930175781250000e+03,1.443721269469605639e+37,7.785909212985103522e+01,3.381808672581256772e-19,5.670294556057585259e-19,1.530979530135548126e-18
2.343141148390439038e-19,6.409399902343750000e+03,1.469900536598526191e+37,7.716263299127730590e+01,5.048306889646695736e-19,5.619573075059773876e-19,1.517284730266138841e-18
-1.738831651988385992e-19,6.409870117187500000e+03,1.483085900954169794e+37,7.681886029613859534e+01,-3.746319684880548047e-19,5.594536918222557276e-19,1.510524967920090272e-18
-1.317938381701595139e-21,6.410339843750000000e+03,1.481769169657499755e+37,7.685298414572854142e+01,-2.839503466124665211e-21,5.597022077929260021e-19,1.511195961040900032e-18
4.217722681680214928e-20,6.410810058593750000e+03,1.470555507831542751e+37,7.714544733140687072e+01,9.087100231743021324e-20,5.618321483871901425e-19,1.516946800645412932e-18
-4.805703536869997847e-19,6.411279785156250000e+03,1.461176449681002472e+37,7.739264343756101994e+01,-1.035390731430991774e-18,5.636324194880484258e-19,1.521807532617730827e-18
8.097104334224836638e-20,6.411750000000000000e+03,1.446721696685329977e+37,7.777831232630859404e+01,1.744524337542983841e-19,5.664411552958831462e-19,1.529391119298884543e-18
1.841331667818759073e-19,6.412220214843750000e+03,1.447256920546608058e+37,7.776392902727084788e+01,3.967156375175888521e-19,5.663364051119278557e-19,1.529108293802205528e-18
-1.905046698990656909e-20,6.412689941406250000e+03,1.448240800772099687e+37,7.773750959792910464e+01,-4.104430662326748861e-20,5.661439986218538447e-19,1.528588796279005525e-18
-2.081601922155344441e-19,6.413160156250000000e+03,1.438248235607346435e+37,7.800709190410674410e+01,-4.484819590291101683e-19,5.681073031522728892e-19,1.533889718511136676e-18
6.761562151801726491e-20,6.413629882812500000e+03,1.437100145028003670e+37,7.803824537928781524e+01,1.456781245089002747e-19,5.683341865847522146e-19,1.534502303778831201e-18
-4.682329604200459509e-20,6.414100097656250000e+03,1.431524214385590254e+37,7.819008107235039517e+01,-1.008809768746508352e-19,5.694399702257330509e-19,1.537487919609479112e-18
8.529724471182694787e-20,6.414569824218750000e+03,1.400934121262874061e+37,7.903913089396507985e+01,1.837732517489996212e-19,5.756234003809345952e-19,1.554183181028523330e-18
4.054578065645354180e-20,6.415040039062500000e+03,1.359020459336369399e+37,8.024870176731677418e+01,8.735604509983661426e-20,5.844324205617675788e-19,1.577967535516772713e-18
-1.415219968385966369e-19,6.415509765625000000e+03,1.348389027191300757e+37,8.056444281681459074e+01,-3.049097030145265081e-19,5.867318883632999467e-19,1.584176098580909923e-18
1.720253686200562136e-20,6.415979980468750000e+03,1.365050163425935875e+37,8.007126819519834271e+01,3.706293383969603419e-20,5.831402135882170900e-19,1.574478576688186413e-18
-1.177221033009225272e-19,6.416450195312500000e+03,1.398401816195271497e+37,7.911066278846801936e+01,-2.536327380729857634e-19,5.761443503443736620e-19,1.555589745929809013e-18
-2.118902793322059610e-19,6.416919921875000000e+03,1.421182686087822698e+37,7.847404853010237957e+01,-4.565184465036314805e-19,5.715080384316955807e-19,1.543071703765578039e-18
