ID ra dec redshift Jmag
92.0 189.15170288 62.10452652 2.1588 24.80621687125584
126.0 189.1534729 62.10558319 2.0257 26.659901886572392
129.0 189.16848755 62.10622025 2.3847 23.670121813365046
133.0 189.08990479 62.1059227 2.1026 24.307926736641527
138.0 189.15415955 62.10593033 2.3883 27.172558270985956
139.0 189.17530823 62.10614777 2.2348 24.985333495311536
168.0 189.08294678 62.10749435 2.2258 22.981991423394224
172.0 189.08346558 62.10747528 2.2954 23.363644219492922
174.0 189.07897949 62.1068306 2.265 25.46583073654326
176.0 189.15100098 62.10699463 1.9367 25.95080608833091
200.0 189.18464661 62.10789871 2.3747 24.12646618296317
209.0 189.11740112 62.1078186 1.9003 25.459612261036266
220.0 189.16847229 62.10825729 2.3855 26.577331611805583
221.0 189.10133362 62.10825348 2.3387 26.19699128856284
232.0 189.18095398 62.10863876 2.0237 26.13911663966035
235.0 189.08520508 62.10860825 2.2576 26.01183829159659
247.0 189.14535522 62.10888672 2.0936 27.12564396321649
250.0 189.11073303 62.10998917 1.9463 23.908083152066364
251.0 189.19528198 62.10906982 2.3588 26.432543222506883
253.0 189.2040863 62.10918808 2.3565 24.227469128061433
260.0 189.18740845 62.10924149 2.1181 26.072854901794997
265.0 189.1819458 62.10934067 2.0249 26.778482774022578
298.0 189.14927673 62.11069107 1.946 23.890630313822733
302.0 189.15577698 62.11061859 2.3125 24.6238764763478
305.0 189.13589478 62.11064911 1.9282 23.58055259606954
315.0 189.15438843 62.11050415 2.1776 24.757898699171527
328.0 189.1144104 62.1113472 2.3866 22.86165648882615
332.0 189.15744019 62.11067963 2.3092 26.48629259253432
338.0 189.13252258 62.11209869 2.2857 23.00872027445545
349.0 189.15730286 62.1109848 2.0499 27.040189120607497
365.0 189.0874176 62.11173248 2.1002 24.125737973359474
371.0 189.10678101 62.11205292 2.0494 24.04847709341472
384.0 189.08332825 62.11199951 2.2941 24.916038561211465
395.0 189.15278625 62.11214447 2.495 26.67269792351191
399.0 189.18017578 62.11223602 2.3708 25.287544555065868
400.0 189.20196533 62.11228943 2.0137 24.53465832077055
404.0 189.10359192 62.11232758 2.0166 24.975204788335247
407.0 189.17991638 62.11235046 2.03 25.563488635749188
413.0 189.07952881 62.11234665 1.9507 25.970532464958538
416.0 189.08811951 62.11244965 2.0711 25.973163329982803
423.0 189.11276245 62.11252213 1.998 26.284597061738655
424.0 189.20010376 62.11261749 2.049 26.26743591846196
433.0 189.10140991 62.1127243 1.9417 26.3205975874954
446.0 189.08615112 62.11291885 2.0965 25.54670682484952
462.0 189.09118652 62.11323929 2.1681 26.203945482415104
487.0 189.1257019 62.11369705 2.1929 25.857121245247583
499.0 189.13404846 62.11420822 2.0002 24.71957712999585
521.0 189.09382629 62.11498642 1.9374 23.989113243186434
536.0 189.12553406 62.11541367 2.2642 23.433430628689997
541.0 189.13053894 62.11464691 1.9171 25.944283569824208
544.0 189.14016724 62.11468887 1.9128 27.37028655277532
548.0 189.12945557 62.1150856 2.3909 24.887279596142957
553.0 189.19976807 62.11495972 1.9622 25.703372166180312
580.0 189.19815063 62.11534119 2.0365 25.52896034347537
583.0 189.21578979 62.1154213 1.9841 25.967669682291323
603.0 189.12713623 62.11585617 2.3326 27.134912593493745
621.0 189.20465088 62.11623001 2.3176 25.172042071511843
626.0 189.08325195 62.1162262 2.187 26.088098192419242
633.0 189.20295715 62.11696625 2.3239 23.82268811675008
644.0 189.08586121 62.1167717 2.0709 25.114164539616215
677.0 189.12927246 62.1176033 2.4115 25.520633065197668
678.0 189.2016449 62.11759949 2.2233 25.000934134871684
