index,slit,targetnum,name,ra,dec,pmra,pmdec,mag,priority,epoch,type,wave_start,wave_end,side,mask,ID,ID_Fink,ID_bino,ID_3DHST,id,zspec,z_Lya,z_fink,z_bouw,photoz,flux_Lya,EW_Lya,FWHM_kms_Lya,Hmag,Jmag,lmass,Reference
27,114,1445,3DHST_31577,189.10346985,62.29940033,0,0,0.0010000000474974509,6.0,2000,TARGET,7533.90505821942,10056.577332848809,A,2019,3DHST_31577,,,,,,,,,0.8761,,,,,25.14494264284105,,
28,27,872,3DHST_17848,188.94642639,62.23028946,0,0,0.0010000000474974509,6.0,2000,TARGET,7652.275724888262,10174.901934993162,A,2019,3DHST_17848,,,,,,,,,0.855,,,,,24.225818141926837,,
29,33,908,3DHST_19025,188.94619751,62.23558426,0,0,0.0010000000474974509,6.0,2000,TARGET,7620.071986375268,10142.712164048296,A,2019,3DHST_19025,,,,,,,,,0.8506,,,,,24.08328902705264,,
30,37,931,3DHST_19661,188.94915771,62.23818588,0,0,0.0010000000474974509,6.0,2000,TARGET,7609.846845290727,10132.491259380324,A,2019,3DHST_19661,,,,,,,,,0.8575,,,,,23.416152127681656,,
31,36,919,3DHST_19285,188.96884155,62.23711014,0,0,0.0010000000474974509,6.0,2000,TARGET,7652.164596045839,10174.789393202942,A,2019,3DHST_19285,,,,,,,,,0.8573,,,,,25.09644726483388,,
32,35,918,3DHST_19281,188.97857666,62.23689651,0,0,0.0010000000474974509,6.0,2000,TARGET,7671.224746211106,10193.840674203186,A,2019,3DHST_19281,,,,,,,,,0.8408,,,,,24.68580897404417,,
33,32,902,3DHST_18839,188.99324036,62.234817500000005,0,0,0.0010000000474974509,6.0,2000,TARGET,7710.4853859977575,10233.083388775724,A,2019,3DHST_18839,,,,,,,,,0.8498,,,,,25.00826123020021,,
34,44,999,3DHST_21508,188.98745728,62.2478714,0,0,0.0010000000474974509,6.0,2000,TARGET,7621.921607425891,10144.55850555628,A,2019,3DHST_21508,,,,,,,,,0.9109,,,,,24.119061262498697,,
35,46,1033,3DHST_22052,188.99407959,62.25079346,0,0,0.0010000000474974509,6.0,2000,TARGET,7616.667808867784,10139.306658389229,A,2019,3DHST_22052,,,,,,,,,0.8037,,,,,25.298880708656892,,
36,51,1078,3DHST_23229,188.99263,62.25628281,0,0,0.0010000000474974509,6.0,2000,TARGET,7581.281993596148,10103.9363613384,A,2019,3DHST_23229,,,,,,,,,0.9078,,,,,25.5646386157812,,
37,56,1133,3DHST_24460,188.99150085,62.26182938,0,0,0.0010000000474974509,6.0,2000,TARGET,7546.16348371128,10068.833245720887,A,2019,3DHST_24460,,,,,,,,,0.8828,,,,,24.40337956235549,,
38,55,1098,3DHST_23702,189.00317383,62.25863266,0,0,0.0010000000474974509,6.0,2000,TARGET,7586.747170469394,10109.398658719749,A,2019,3DHST_23702,,,,,,,,,0.7933,,,,,25.22525451128869,,
39,234,326,3DHST_4120,189.20843506,62.15649414,0,0,0.0010000000474974509,6.0,2000,TARGET,7249.181951612095,9771.982307283526,B,2019,3DHST_4120,,,,,,,,,0.8804,,,,,26.08431883925555,,
40,52,1092,3DHST_23565,189.01322937,62.25788498,0,0,0.0010000000474974509,6.0,2000,TARGET,7609.786151876526,10132.427121276556,A,2019,3DHST_23565,,,,,,,,,0.8033,,,,,25.285381831779613,,
41,60,1191,3DHST_25677,189.015625,62.26789856,0,0,0.0010000000474974509,6.0,2000,TARGET,7554.7389782533455,10077.403962323306,A,2019,3DHST_25677,,,,,,,,,0.8686,,,,,25.336899435625078,,
42,58,1144,3DHST_24704,189.03118896,62.26350403,0,0,0.0010000000474974509,6.0,2000,TARGET,7609.727285754741,10132.36757271588,A,2019,3DHST_24704,,,,,,,,,0.9158,,,,,25.70318540855468,,
43,53,1093,3DHST_23574,189.04743958,62.25785065,0,0,0.0010000000474974509,6.0,2000,TARGET,7673.469136093733,10196.080871889262,A,2019,3DHST_23574,,,,,,,,,0.7751,,,,,24.834185186594905,,
44,66,1230,3DHST_26451,189.04728699,62.27155304,0,0,0.0010000000474974509,6.0,2000,TARGET,7592.051088907477,10114.698615928835,A,2019,3DHST_26451,,,,,,,,,0.7776,,,,,25.41773823330321,,
45,61,1205,3DHST_25984,189.05636597,62.26921082,0,0,0.0010000000474974509,6.0,2000,TARGET,7622.872989981856,10145.506693476756,A,2019,3DHST_25984,,,,,,,,,0.7949,,,,,24.900374555625838,,
46,63,1220,3DHST_26227,189.07818604,62.270168299999995,0,0,0.0010000000474974509,6.0,2000,TARGET,7658.098496594159,10180.716131227626,A,2019,3DHST_26227,,,,,,,,,0.8433,,,,,23.953708181238298,,
47,79,1318,3DHST_28439,189.07881165,62.28168869,0,0,0.0010000000474974509,6.0,2000,TARGET,7591.356719295608,10114.003814310334,A,2019,3DHST_28439,,,,,,,,,0.9276,,,,,25.21526677692271,,
48,80,1321,3DHST_28529,189.08518982,62.28233719,0,0,0.0010000000474974509,6.0,2000,TARGET,7599.559278984458,10122.20264089352,A,2019,3DHST_28529,,,,,,,,,0.8036,,,,,25.625659211077352,,
49,64,1222,3DHST_26271,189.10997009,62.270633700000005,0,0,0.0010000000474974509,6.0,2000,TARGET,7715.183951422381,10237.775786343564,A,2019,3DHST_26271,,,,,,,,,0.8378,,,,,25.197918372116394,,
50,101,1398,3DHST_30405,189.08370972,62.29298782,0,0,0.0010000000474974509,6.0,2000,TARGET,7534.098912963726,10056.77126890718,A,2019,3DHST_30405,,,,,,,,,0.8083,,,,,23.557621329843393,,
51,74,1259,3DHST_27096,189.11630249,62.27470779,0,0,0.0010000000474974509,6.0,2000,TARGET,7703.196722834806,10225.79378783095,A,2019,3DHST_27096,,,,,,,,,0.8919,,,,,25.701464600743517,,
52,50,1073,3DHST_23083,189.02204895,62.25556564,0,0,0.0010000000474974509,6.0,2000,TARGET,7639.8970156480445,10162.52443295749,A,2019,3DHST_23083,,,,,,,,,0.8001,,,,,25.07485377299049,,
53,278,374,3DHST_5689,189.23144531,62.16816329999999,0,0,0.0010000000474974509,6.0,2000,TARGET,7272.023753223876,9794.813197404708,B,2019,3DHST_5689,,,,,,,,,0.9115,,,,,24.960971988741218,,
54,251,345,3DHST_4809,189.27586365,62.16165543,0,0,0.0010000000474974509,6.0,2000,TARGET,7147.940310746333,9670.784557165558,B,2019,3DHST_4809,,,,,,,,,0.8178,,,,,25.50377046904881,,
55,551,751,3DHST_14830,189.20622253,62.21534729,0,0,0.0010000000474974509,6.0,2000,TARGET,7595.839904373155,10118.484739792879,B,2019,3DHST_14830,,,,,,,,,0.81,,,,,25.725956008293977,,
56,877,1766,z5_GND_4070,189.255096,62.179370999999996,0,0,0.0010000000474974509,5.0,2000,TARGET,7291.590691147223,9814.370961460498,B,2019,z5_GND_4070,,,,,,,5.43,5.18,,,,,26.24,,,
57,876,1765,z5_GND_2774,189.245148,62.17205,0,0,0.0010000000474974509,5.0,2000,TARGET,7268.072293711591,9790.863236419482,B,2019,z5_GND_2774,,,,,,,5.23,5.49,,,,,25.88,,,
58,869,1758,z5_GND_908,189.245544,62.154888,0,0,0.0010000000474974509,5.0,2000,TARGET,7167.284439166032,9690.120583507996,B,2019,z5_GND_908,,,,,,,5.3,5.24,,,,,26.75,,,
59,878,1767,z5_GND_40815,189.194717,62.181686,0,0,0.0010000000474974509,5.0,2000,TARGET,7422.189171667928,9944.912059237393,B,2019,z5_GND_40815,,,,,,,5.33,5.24,,,,,26.74,,,
60,889,1778,z5_GND_39445,189.17865,62.187236999999996,0,0,0.0010000000474974509,5.0,2000,TARGET,7485.765658751519,10008.460396290573,B,2019,z5_GND_39445,,,,,,,5.03,5.06,,,,,26.94,,,
